title,description,url,published_date,source,country,language
China and the Philippines trade blame over South China Sea clash,The latest incident comes amid ongoing tensions between China and the Philippines over the disputed strategic waterway.,https://www.abc.net.au/news/2025-05-23/china-philippines-trade-blame-over-south-china-sea-clash/105326136,2025-05-22T14:20:48,ABC News,Australia,en
"Small plane crashes into San Diego neighbourhood, setting over 10 homes on fire","Authorities say multiple homes have been hit, causing a gigantic debris field in the Californian neighbourhood",https://www.abc.net.au/news/2025-05-22/small-plane-crashes-into-san-diego-neighbourhood/105326126,2025-05-22T13:56:04,ABC News,Australia,en
RBA deputy says China knew it had a strong hand in trade war with US,RBA deputy governor Andrew Hauser says he witnessed first-hand Chinas willingness to fight a US trade war.,https://www.abc.net.au/news/2025-05-22/rba-andrew-hauser-china-ready-for-trade-war-with-us/105325202,2025-05-22T11:10:41,ABC News,Australia,en
What we know about young couple shot dead outside Jewish museum in Washington DC,"Israel has identified the two victims, who were a young couple, and the suspect will be interrogated on Thursday morning.",https://www.abc.net.au/news/2025-05-22/what-we-know-about-washington-dc-shooting/105325572,2025-05-22T10:45:26,ABC News,Australia,en
"NT minister references Darwinism, quotes Nazi leader in anti-racism debate",The Northern Territorys multicultural affairs minister has defended referencing Charles Darwins theory of evolution and quoting Hitlers propaganda chief during a parliamentary debate about racism.,https://www.abc.net.au/news/2025-05-22/nt-minister-jinson-charls-links-charles-darwin-evolution-racism/105322908,2025-05-22T10:25:31,ABC News,Australia,en
Who are Kneecap and why has a member been charged with terrorism?,"British police have charged Liam OHanna, a member of the Irish rap group Kneecap, with a terrorism offence for allegedly waving a flag in support of Hezbollah at a concert in London. How did we get here?",https://www.abc.net.au/news/2025-05-22/who-are-kneecap-and-why-are-they-being-investigated/105241686,2025-05-22T09:52:05,ABC News,Australia,en
"AMA warns severe flu season ahead, as Qld cases surge by 36 per cent",Flu infections across the state are already 36 per cent higher than this time last year and health authorities are warning of a tough winter ahead.,https://www.abc.net.au/news/2025-05-22/queensland-influenza-cases-spike-severe-flu-season-ahead/105313134,2025-05-22T09:51:27,ABC News,Australia,en
NBL superstar Bryce Cotton set to sign with 36ers,"The Adelaide 36rs are set to announce a momentous signing, with NBL superstar and five-time MVP Bryce Cotton expected to join the club.",https://www.abc.net.au/news/2025-05-22/nbl-superstar-bryce-cotton-set-to-sign-with-adelaide-36ers/105325764,2025-05-22T09:32:38,ABC News,Australia,en
Dolphins defy atrocious conditions to smash Bulldogs in 36-point rout,The wind and the rain were meant to keep scores low but the Dolphins defied the odds to record the second-biggest win in their history against ladder-leaders Canterbury.,https://www.abc.net.au/news/2025-05-22/nrl-dolphins-record-win-bulldogs/105325780,2025-05-22T09:29:53,ABC News,Australia,en
Significant sums Misuse of public money claims referred for NT probe,The NT opposition leader has referred serious misuse of public money allegations at the Darwin Waterfront Corporation to a parliamentary committee.,https://www.abc.net.au/news/2025-05-22/nt-darwin-waterfront-allegations-public-accounts-committee-/105324002,2025-05-22T09:14:34,ABC News,Australia,en
