title,description,url,published_date,source,country,language
Smith needed four jabs to play as controversial mark helps Cats win classic,Geelong showed grit to win a tight game against the Bulldogs with Bailey Smith again attracting headlines when he revealed he needed four jabs in the shin to play,https://www.smh.com.au/sport/afl/smith-needed-four-jabs-to-play-as-controversial-mark-helps-cats-win-classic-20250522-p5m1jw.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-23T00:46:45,Sydney Morning Herald,Australia,en
Victorious Smith has potshot at Dogs as Bevo doesnt bite on Cornes controversy,"There was no shortage of talking points as Bailey Smith took on the Dogs and won, Chris Scott took a swing at the technology used by the ARC and Luke Beveridge and Kane Cornes had a pre-game run-in.",https://www.smh.com.au/sport/afl/afl-live-geelong-western-bulldogs-resume-rivalry-as-judgement-day-arrives-for-bailey-smith-20250522-p5m17e.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-23T00:00:46,Sydney Morning Herald,Australia,en
Meghann Fahy always had a wild side. The White Lotus unleashed it,It might be time for the Sirens star to stop feeling like the underdog.,https://www.smh.com.au/culture/tv-and-radio/meghann-fahy-always-had-a-wild-side-the-white-lotus-unleashed-it-20250519-p5m0eo.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-23T00:00:00,Sydney Morning Herald,Australia,en
"Superquiz, Friday, May 23","Trivia buffs, test your knowledge with todays interactive superquiz.",https://www.smh.com.au/national/superquiz-friday-may-23-20250522-p5m1bq.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-22T23:59:00,Sydney Morning Herald,Australia,en
New WA ministers hope to improve lives of DV victims,Western Australias newly-minted minister for the prevention of family and domestic violence believes the state is on track to improve the lives of victims.,https://www.smh.com.au/national/new-wa-ministers-hope-to-improve-lives-of-dv-victims-20250522-p5m1kc.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-22T23:19:25,Sydney Morning Herald,Australia,en
Donoghoes nose repairs,Dolphins hooker Kurt Donoghoe bravely returned after suffering a badly broken nose,https://www.smh.com.au/sport/nrl/donoghoes-nose-repairs-20250522-p5m1k9.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-22T22:58:18,Sydney Morning Herald,Australia,en
NRL Highlights Bulldogs v Dolphins - Round 12,"Canterbury-Bankstown Bulldogs host the Dolphins in Round 12 of the 2025 NRL Premiership at Accor Stadium, Sydney.",https://www.smh.com.au/sport/nrl/nrl-highlights-bulldogs-v-dolphins-round-12-20250522-p5m1k5.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-22T22:22:37,Sydney Morning Herald,Australia,en
Dolphins batter Bulldogs with Donoghoe leading the way,"Competition leaders the Bulldogs take on the Dolphins without Origin stars Stephen Crichton, Max King and Kurt Mann on a slippery night at Accor Stadium. Follow all the action.",https://www.smh.com.au/sport/nrl/nrl-2025-live-canterbury-bulldogs-v-dolphins-20250522-p5m1dt.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-22T22:14:41,Sydney Morning Herald,Australia,en
Dolphins stars hospital reveal,Herbie Farnworth tells Nines Danika Mason he spent two nights in hospital prior to round 12.,https://www.smh.com.au/sport/nrl/dolphins-stars-hospital-reveal-20250522-p5m1k4.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-22T22:13:15,Sydney Morning Herald,Australia,en
Donoghoe caps off wild night,"After breaking his nose early, the Dolphins hooker scores the final try in a big win over the Bulldogs.",https://www.smh.com.au/sport/nrl/donoghoe-caps-off-wild-night-20250522-p5m1k3.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-22T22:04:08,Sydney Morning Herald,Australia,en
Herbies stellar run continues,Dolphins superstar Herbie Farnworth continues his try-scoring streak against the Bulldogs.,https://www.smh.com.au/sport/nrl/herbies-stellar-run-continues-20250522-p5m1k2.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-22T21:54:00,Sydney Morning Herald,Australia,en
"Beveridge, Cornes clash in pre-game confrontation",Luke Beveridge and Kane Cornes exchanged words on the boundary line before the Bulldogs clash with the Cats.,https://www.smh.com.au/sport/afl/beveridge-cornes-clash-in-pre-game-confrontation-20250522-p5m1jh.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-22T21:42:35,Sydney Morning Herald,Australia,en
Mahoney scolded for melee,Reed Mahoney sparks a melee between the Bulldogs and Dolphins players.,https://www.smh.com.au/sport/nrl/mahoney-scolded-for-melee-20250522-p5m1jz.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-22T21:38:33,Sydney Morning Herald,Australia,en
US TV presenter stays on-air after her waters break during live broadcast,"CBS Albany, New York news anchor Olivia Jaquith stayed on-air for three hours during active labour after her waters broke at the start of the broadcast",https://www.smh.com.au/lifestyle/us-tv-presenter-stays-on-air-after-her-waters-break-during-live-broadcast-20250522-p5m1jy.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-22T21:28:28,Sydney Morning Herald,Australia,en
Queenslanders get chance to have their say on Olympics,International Olympic Committee officials have released an online survey offering Queenslanders the chance to have their say on Brisbane 2032.,https://www.smh.com.au/national/queenslanders-get-chance-to-have-their-say-on-olympics-20250522-p5m1jv.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-22T21:18:21,Sydney Morning Herald,Australia,en
NBL star heading to Adelaide in shock for Perth fans,"Perth Wildcats star Bryce Cotton, who was rumoured to be heading for Japan, will instead stay in Australia but move to the Adelaide 36ers.",https://www.smh.com.au/sport/basketball/nbl-star-heading-to-adelaide-in-shock-for-perth-fans-20250522-p5m1ju.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-22T21:18:11,Sydney Morning Herald,Australia,en
Xerris lapse leads to try,Jack Bostock scores for the Dolphins after a nice backline movement left Bronson Xerri in no-mans land.,https://www.smh.com.au/sport/nrl/xerris-lapse-leads-to-try-20250522-p5m1jr.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-22T21:08:18,Sydney Morning Herald,Australia,en
Waiting for my pal,To paint a pretty picture.,https://www.smh.com.au/national/nsw/waiting-for-my-pal-20250522-p5m18p.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-22T21:00:00,Sydney Morning Herald,Australia,en
"Best of cartoons, May 23, 2025","The news of the day as interpreted by our talented artists, illustrators and cartoonists.",https://www.smh.com.au/politics/federal/best-of-cartoons-may-23-2025-20250522-p5m1jn.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-22T20:50:36,Sydney Morning Herald,Australia,en
The latest illustrations from artist Cathy Wilcox,The latest work by the acclaimed Sydney Morning Herald editorial cartoonist.,https://www.smh.com.au/politics/federal/the-latest-illustrations-from-artist-cathy-wilcox-20230608-p5df54.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-05-22T20:48:12,Sydney Morning Herald,Australia,en
