title,description,url,published_date,source,country,language
Latest updates World leaders condemn killing of 2 Israeli Embassy staff in D.C. shooting attack,,https://www.cbc.ca/9.6768751?cmp=rss,2025-05-22T06:03:48,CBC News,Canada,en
NHLers testimony back under scrutiny at sexual assault trial of former world junior hockey players,"Were back at Superior Court in London, Ont., to bring you the latest updates from the trial of five former world junior hockey players.",https://www.cbc.ca/9.6768959?cmp=rss,2025-05-22T10:19:59,CBC News,Canada,en
Mothers legal win in Italy IVF case seen as historic day for 2SLGBTQ parenting rights,"Italys Constitutional Court said on Thursday that same-sex female couples who use in vitro fertilization IVF abroad can both be legally recognized as parents in Italy, even if one is not the biological mother.",https://www.cbc.ca/news/world/italy-ivf-ruling-1.7540786?cmp=rss,2025-05-22T10:38:58,CBC News,Canada,en
Pressure mounting on Poilievre to fire campaign manager sources,,https://www.cbc.ca/news/politics/poilievre-byrne-conservative-caucus-1.7540215?cmp=rss,2025-05-22T04:01:00,CBC News,Canada,en
Duolingos CEO says AI will soon replace teachers. But... should it?,"Duolingos founder and CEO is sparking controversy with his recent statements that AI should replace teachers since it teaches better than humans, but that schools will still exist for childcare.",https://www.cbc.ca/news/world/duolingo-ai-teachers-1.7539838?cmp=rss,2025-05-22T04:00:00,CBC News,Canada,en
Hungry civilians take food from aid truck entering Gaza,CBC News followed a humanitarian truck that entered the Gaza Strip in the southern city of Khan Younis on Wednesday evening as it was besieged by hungry civilians who took bags of flour from the truck before it could arrive at the bakery where it was meant to unload.,https://www.cbc.ca/player/play/9.6768591?cmp=rss,2025-05-21T20:28:28,CBC News,Canada,en
My familys survival of residential school inspired me to identify people buried in unmarked graves,"Shannon Cornelsen knows she is from a family of survivors. On her mothers side, many of her loved ones lived through the residential school system. And thats whats motivating her to take on the task of reconnecting families of those who died in the Camsell, a hospital in Edmonton where many Indigenous people were taken from the North and never came home.",https://www.cbc.ca/radio/nowornever/my-family-s-survival-of-residential-school-inspired-me-to-identify-people-buried-in-unmarked-graves-1.7537804?cmp=rss,2025-05-22T04:00:00,CBC News,Canada,en
Stellantis postpones Canadian-made 2026 Dodge Charger RT model amid U.S. tariffs,,https://www.cbc.ca/news/canada/windsor/windsor-stellantis-dodge-charger-1.7540754?cmp=rss,2025-05-02T09:39:46,CBC News,Canada,en
RCMP leader accused suspended Coquitlam officers of mounting campaign of hate,"The head of Coquitlams RCMP detachment accused three of his officers of waging a campaign of hate in an email sent to staff after the first of the accused Mounties publicly defended himself against allegations of homophobia, racism and sexism.",https://www.cbc.ca/news/canada/british-columbia/chat-rcmp-sexism-racism-leaders-1.7539410?cmp=rss,2025-05-22T08:00:00,CBC News,Canada,en
Rifts in families Parents seek better talk on vaccines as measles outbreak grows,"Parents are feeling the strain as the measles outbreak grows, especially in southern Alberta. At a Lethbridge playground, they say theyre trying to keep kids safe and navigate touchy vaccine conversations, whether theyre pro-vaccines or not.",https://www.cbc.ca/news/canada/calgary/measles-lethbridge-parents-1.7537476?cmp=rss,2025-05-22T07:00:00,CBC News,Canada,en
