title,description,url,published_date,source,country,language
"Fusillade à Washington  Israël accuse des pays européens dincitation à la haine antisémite, Paris rejette des propos outranciers","Deux employés de lambassade israélienne aux États-Unis ont été tués à lextérieur du musée juif de Washington mercredi 21 mai dans la nuit, ont annoncé les autorités américaines. Le tireur présumé appelait à libérer la Palestine.",https://www.lefigaro.fr/international/direct-musee-juif-fusillade-ambassade-washington-antisemitisme-trump-20250522,2025-05-22T16:39:02,Le Figaro,France,fr
"Fusillade devant le musée juif de Washington  qui est Élias Rodriguez, le principal suspect ?","Cet homme âgé de 30 ans a été arrêté dès larrivée de la police sur les lieux du drame, après que deux employés de lambassade israélienne aux États-Unis ont été tués mercredi 21 mai.",https://www.lefigaro.fr/international/fusillade-devant-le-musee-juif-de-washington-qui-est-elias-rodriguez-le-principal-suspect-20250522,2025-05-22T14:50:27,Le Figaro,France,fr
"Les destins brisés de Yarón Lischinsky et Sarah Milgrim, les deux victimes de la tuerie de Washington sur le point de se fiancer","Le jeune couple a été abattu alors quil sortait dune réception de diplomates au musée juif de Washington. Ils travaillaient tous les deux à lambassade israélienne. Lui était chrétien, elle engagée pour la paix et lenvironnement.",https://www.lefigaro.fr/international/futurs-fiances-employes-de-l-ambassade-israelienne-qui-sont-les-deux-victimes-de-la-tuerie-de-washington-20250522,2025-05-22T15:07:15,Le Figaro,France,fr
Free Palestine  le message ambigu publié puis supprimé par un député LFI après la tuerie de Washington,"Quelques heures après lassassinat dun jeune couple de confession juive à Washington, lélu insoumis Thomas Portes a publié un message de soutien à la Palestine sur son compte X. Quil a rapidement supprimé.",https://www.lefigaro.fr/flash-actu/free-palestine-le-message-ambigu-publie-puis-supprime-par-un-depute-lfi-apres-la-tuerie-de-washington-20250522,2025-05-22T12:29:51,Le Figaro,France,fr
"Je lai fait, je lai fait pour Gaza  le récit de la fusillade mortelle devant le musée juif de Washington","Les États-Unis ont été théâtre mercredi soir dune attaque glaçante, tout près de la Maison-Blanche. Un jeune couple a été abattu par un homme qui scandait Free Palestine et sest fait passer, dans un premier temps, pour un témoin du crime.",https://www.lefigaro.fr/international/je-l-ai-fait-je-l-ai-fait-pour-gaza-le-recit-de-la-fusillade-mortelle-devant-le-musee-juif-de-washington-20250522,2025-05-22T12:44:05,Le Figaro,France,fr
"Gérard Larcher au Figaro  Après Emmanuel Macron, il ny aura plus de macronisme","EXCLUSIF - Au lendemain de la très large élection de Bruno Retailleau à la tête des Républicains, le président LR du Sénat approuve la déclaration de la porte-parole du gouvernement et dénonce une polémique qui na pas lieu dêtre.",https://www.lefigaro.fr/politique/gerard-larcher-au-figaro-apres-emmanuel-macron-il-n-y-aura-plus-de-macronisme-20250522,2025-05-22T15:35:40,Le Figaro,France,fr
"Emmanuel Macron na quun héritier, lui-même   les indiscrétions du Figaro Magazine",CHRONIQUE - Petites phrases et coulisses de la semaine politique.,https://www.lefigaro.fr/politique/emmanuel-macron-n-a-qu-un-heritier-lui-meme-les-indiscretions-du-figaro-magazine-20250522,2025-05-22T10:03:09,Le Figaro,France,fr
"Ça suffit, les annonces inapplicables  Gérard Larcher opposé à linterdiction du voile pour les moins de 15 ans","Le président du Sénat a fait part de son désaccord avec la proposition du secrétaire général de Renaissance Gabriel Attal. Au sein du parti présidentiel, le député Karl Olive a lui aussi critiqué cette mesure.",https://www.lefigaro.fr/politique/ca-suffit-les-annonces-inapplicables-gerard-larcher-oppose-a-l-interdiction-du-voile-pour-les-moins-de-15-ans-20250522,2025-05-22T11:20:06,Le Figaro,France,fr
Lacteur Omar Sy accusé de propos menaçants envers un agent SNCF,Laltercation a éclaté ce jeudi matin dans la gare de Lyon alors que lacteur devait prendre un train pour Avignon. La SNCF annonce que des poursuites seront engagées.,https://www.lefigaro.fr/faits-divers/l-acteur-omar-sy-accuse-de-propos-menacants-envers-un-agent-sncf-20250522,2025-05-22T15:33:22,Le Figaro,France,fr
Stéphane Simon   Israël prépare la dernière manche qui vise la fin du régime de Téhéran,"ENTRETIEN - Avec Pierre Rehov, Stéphane Simon publie 7 Octobre. La Riposte. Un livre enquête qui raconte la guerre menée par lÉtat hébreu contre le régime iranien.  Une guerre secrète, impitoyable, qui est au cœur de la nécessité de survie dIsraël , assure le journaliste.",https://www.lefigaro.fr/international/stephane-simon-israel-prepare-la-derniere-manche-qui-vise-la-fin-du-regime-de-teheran-20250522,2025-05-22T12:10:28,Le Figaro,France,fr
LIran affirme que le gouvernement américain portera une responsabilité en cas dattaque israélienne contre ses sites nucléaires,"Israël se réserverait le droit de frapper les installations nucléaires iraniennes si lissue des discussions sur le nucléaire ne lui plaisait pas, selon des informations rapportées par CNN.",https://www.lefigaro.fr/international/l-iran-affirme-que-le-gouvernement-americain-portera-une-responsabilite-en-cas-d-attaque-israelienne-contre-ses-sites-nucleaires-20250522,2025-05-22T15:15:55,Le Figaro,France,fr
"Gaza  larmée israélienne émet un nouvel avis dévacuation, plus de 50 personnes tuées","Larmée israélienne opère avec force dans les zones où vous vous trouvez ... car les organisations terroristes poursuivent leurs activités et leurs opérations dans les quartiers mentionnés, a déclaré un porte-parole.",https://www.lefigaro.fr/international/gaza-l-armee-israelienne-emet-un-avis-d-evacuation-pour-14-quartiers-dans-le-nord-du-territoire-20250522,2025-05-22T15:24:14,Le Figaro,France,fr
Conquête de Gaza  un leader dopposition craint quIsraël ne devienne un État paria et suscite un tollé,"RÉCIT - Le chef du parti Démocrate, Yair Golan, dénonce lopération Chariots de Gédéon, avec des soldats qui  tuent des bébés par passe-temps . Ses déclarations polémiques surviennent alors que le pays affronte une tempête diplomatique.",https://www.lefigaro.fr/international/conquete-de-gaza-un-leader-d-opposition-craint-qu-israel-ne-devienne-un-etat-paria-et-suscite-un-tolle-20250521,2025-05-21T18:36:59,Le Figaro,France,fr
"La tendance est à ce que lon affirme nos positions  à Lyon, LFI tentée de faire cavalier seul à gauche","Manuel Bompard, coordinateur national de La France insoumise a confirmé, ce mercredi, lintention de son parti de présenter des listes au premier tour dans la métropole de Lyon, même face à des majorités sortantes de gauche.",https://www.lefigaro.fr/lyon/la-tendance-est-a-ce-que-l-on-affirme-nos-positions-a-lyon-lfi-tentee-de-faire-cavalier-seul-a-gauche-20250522,2025-05-22T16:45:00,Le Figaro,France,fr
