title,description,url,published_date,source,country,language
Pakistan Neues Cybercrime-Gesetz als Waffe gegen Kritiker?,"Pakistans hartes Vorgehen gegen Online-Desinformation ruft Kritik von Menschenrechtsgruppen hervor. Sie fürchten, das neue Gesetz soll kritische Stimmen zum Schweigen bringen.",https://www.dw.com/de/pakistan-neues-cybercrime-gesetz-als-waffe-gegen-kritiker/a-72634522?maca=de-rss-de-all-1119-xml-mrss,2025-05-22T13:43:00,Deutsche Welle,Germany,de
Deutschland stationiert Panzerbrigade an der NATO-Ostflanke,Die Bundeswehr hat in Litauen die neue Panzerbrigade 45 aufgestellt. Zu einem feierlichen Appell reiste Bundeskanzler Friedrich Merz nach Vilnius.,https://www.dw.com/de/deutschland-stationiert-panzerbrigade-an-der-nato-ostflanke/a-72620475?maca=de-rss-de-all-1119-xml-mrss,2025-05-22T13:41:00,Deutsche Welle,Germany,de
Japan investiert trotz klimafreundlicher Versprechen massiv in Flüssigerdgas,"Japan ist weltweit führend bei der Finanzierung von Erdgasprojekten und führt gleichzeitig ein Forum in Asien an, das einen Ausstieg aus fossilen Brennstoffen fordert.",https://www.dw.com/de/japan-investiert-trotz-klimafreundlicher-versprechen-massiv-in-flüssigerdgas/a-72634000?maca=de-rss-de-all-1119-xml-mrss,2025-05-22T13:07:00,Deutsche Welle,Germany,de
Rumänisches Verfassungsgericht weist Wahlanfechtung zurück,Nach seiner Niederlage bei der rumänischen Präsidentschaftswahl scheitert der rechtspopulistische Kandidat George Simion mit einem Antrag auf Annullierung - das Verfassungsgericht entscheidet einstimmig.,https://www.dw.com/de/rumänisches-verfassungsgericht-weist-wahlanfechtung-zurück/a-72634665?maca=de-rss-de-all-1119-xml-mrss,2025-05-22T13:00:00,Deutsche Welle,Germany,de
Israel erhöht Sicherheit an jüdischen Stätten,Zwei Israelis wurden bei einem mutmaßlich antisemitistisch motivierten Angriff in Washington getötet. Israel zeigt sich erschüttert über die Tat. Stärkere Sicherheitsvorkehrungen an den Botschaften sollen folgen.,https://www.dw.com/de/israel-erhöht-sicherheit-an-jüdischen-stätten/a-72633671?maca=de-rss-de-all-1119-xml-mrss,2025-05-22T12:37:00,Deutsche Welle,Germany,de
"Nations League DFB-Kader ohne Havertz, Musiala und Rüdiger","Fußball-Bundestrainer Julian Nagelsmann verzichtet in der Nationalmannschaft für Halbfinale und mögliches Finale der Nations League auf drei Langzeitverletzte, beruft aber zwei Neulinge - einen davon überraschend.",https://www.dw.com/de/nations-league-dfb-kader-ohne-havertz-musiala-und-rüdiger/a-72631693?maca=de-rss-de-all-1119-xml-mrss,2025-05-22T11:07:00,Deutsche Welle,Germany,de
Ukraine fliegt Drohnenangriffe auf Moskau,Die Ukraine meldet weiterhin Kämpfe auf russischem Territorium als Schutzmaßnahme für bedrohte Städte. Der Flugverkehr in Moskau musste wegen Drohnenangriffen gestoppt werden. Die USA bereiten neue Sanktionen vor.,https://www.dw.com/de/ukraine-fliegt-drohnenangriffe-auf-moskau/a-72630040?maca=de-rss-de-all-1119-xml-mrss,2025-05-22T10:16:00,Deutsche Welle,Germany,de
Neuer Oval-Office-Eklat Trump wirft Südafrika Genozid vor,Wieder gab es eine Konfrontation mit einem Gast im Weißen Haus. US-Präsident Trump hat Südafrikas Präsident Ramaphosa mit einer ungewöhnlichen Präsentation überrascht. Sie soll einen Massenmord an Weißen belegen.,https://www.dw.com/de/neuer-oval-office-eklat-trump-wirft-südafrika-genozid-vor/a-72629188?maca=de-rss-de-all-1119-xml-mrss,2025-05-22T09:43:00,Deutsche Welle,Germany,de
Zwei indische Künstlerinnen gehen ihren Weg,Ob Behinderung oder die gesellschaftliche Stellung der Frau Janhavi Khemka und Mayuri Chari verarbeiten in ihrer Kunst eigene Erfahrungen. So unterschiedlich das Resultat - erfolgreich sind beide Künstlerinnen.,https://www.dw.com/de/zwei-indische-künstlerinnen-gehen-ihren-weg/a-72597770?maca=de-rss-de-all-1119-xml-mrss,2025-05-22T09:40:00,Deutsche Welle,Germany,de
Trump scheint das Papstamt zu beeindrucken,"Religion spielt in der US-Politik immer eine große Rolle. Ein Interview zu Donald Trump und JD Vance, zum Glauben in den USA und dem amerikanischen Papst.",https://www.dw.com/de/trump-scheint-das-papstamt-zu-beeindrucken/a-72627141?maca=de-rss-de-all-1119-xml-mrss,2025-05-22T09:38:00,Deutsche Welle,Germany,de
Indien Apple sucht Alternative zu iPhone-Produktion in China,"Apple stützt sich bei der Herstellung seiner Produkte traditionell stark auf chinesische Fabriken. Der Tech-Riese aus Kalifornien plant nun aber, die Produktion in Indien deutlich auszubauen.",https://www.dw.com/de/indien-apple-sucht-alternative-zu-iphone-produktion-in-china/a-72624366?maca=de-rss-de-all-1119-xml-mrss,2025-05-22T09:33:00,Deutsche Welle,Germany,de
Tottenham Hotspur gewinnt Europa League,Nach einer Durststrecke von 17 Jahren sichert sich Tottenham Hotspur wieder einen Titel. Im Finale der Europa League setzen sich die Spurs gegen den englischen Rivalen Manchester United knapp durch.,https://www.dw.com/de/tottenham-hotspur-gewinnt-europa-league/a-72629240?maca=de-rss-de-all-1119-xml-mrss,2025-05-22T09:06:00,Deutsche Welle,Germany,de
News kompakt Angriff auf Mitarbeiter von Israels Botschaft,Nahe dem Jüdischen Museum in Washington sind zwei Menschen erschossen worden. Donald Trump sorgt für einen weiteren internationalen Eklat im Oval Office. Das Wichtigste in Kürze.,https://www.dw.com/de/news-kompakt-angriff-auf-mitarbeiter-von-israels-botschaft/a-72629084?maca=de-rss-de-all-1119-xml-mrss,2025-05-22T07:18:00,Deutsche Welle,Germany,de
Faktencheck Hat China Hilfsgüter über Gaza abgeworfen?,"In Sozialen Medien sind Bilder und Videos aufgetaucht, die angeblich zeigen, wie chinesische Hilfslieferungen per Fallschirm über Gaza abgeworfen werden. Doch die Posts sind falsch.",https://www.dw.com/de/faktencheck-hat-china-hilfsgüter-über-gaza-abgeworfen/a-72625677?maca=de-rss-de-all-1119-xml-mrss,2025-05-22T05:54:00,Deutsche Welle,Germany,de
