title,description,url,published_date,source,country,language
Kementan-Kejagung sinergi manfaatkan lahan hasil sitaan untuk LTT,Kementerian Pertanian Kementan dan Kejaksaan Agung Kejagung bersinergi memperkuat ketahanan pangan nasional ...,https://www.antaranews.com/berita/4852449/kementan-kejagung-sinergi-manfaatkan-lahan-hasil-sitaan-untuk-ltt,2025-05-22T21:48:39,Antara News,Indonesia,id
ApriyaniFebi pastikan lima wakil Indonesia di perempat final,Ganda putri Apriyani RahayuFebi Setianingrum melengkapi daftar lima wakil Merah Putih yang melaju ke perempat final ...,https://www.antaranews.com/berita/4852445/apriyani-febi-pastikan-lima-wakil-indonesia-di-perempat-final,2025-05-22T21:46:10,Antara News,Indonesia,id
KAI Jakarta larang warga taruh benda di jalur KA,PT Kereta Api Indonesia Daerah Operasi KAI Daop 1 Jakarta melarang masyarakat menaruh benda apapun di jalur kereta ...,https://www.antaranews.com/berita/4852441/kai-jakarta-larang-warga-taruh-benda-di-jalur-ka,2025-05-22T21:43:12,Antara News,Indonesia,id
Andri Malay sebut jadi asisten pelatih timnas adalah sebuah tantangan,Asisten pelatih tim nasional timnas bola basket Indonesia Andri Malay menyebut bahwa masuk ke dalam jajaran pelatih ...,https://www.antaranews.com/berita/4852437/andri-malay-sebut-jadi-asisten-pelatih-timnas-adalah-sebuah-tantangan,2025-05-22T21:41:37,Antara News,Indonesia,id
Gubernur Khofifah Dukungan Bank Jatim adaptif jaga ekonomi,Gubernur Jawa Timur Khofifah Indar Parawansa menyatakan dukungan Bank Jatim terhadap pembiayaan maupun layanan ...,https://www.antaranews.com/berita/4852433/gubernur-khofifah-dukungan-bank-jatim-adaptif-jaga-ekonomi,2025-05-22T21:41:30,Antara News,Indonesia,id
Ombudsman RI incar kewenangan sanksi dan kompensasi dalam revisi UU,ANTARA - Ombudsman RI tengah mendorong percepatan pembahasan Rancangan Undang-Undang perubahan atas UU Nomor 37 tahun ...,https://www.antaranews.com/video/4852401/ombudsman-ri-incar-kewenangan-sanksi-dan-kompensasi-dalam-revisi-uu,2025-05-22T21:41:18,Antara News,Indonesia,id
Jamu pahitan bisa bantu tekan asupan karbohidrat di momen Idul Adha,Ketua Umum Perkumpulan Dokter Pengembang Obat Tradisional dan Jamu Indonesia PDPOTJI Dr. Cand. dr. Inggrid Tania ...,https://www.antaranews.com/berita/4852429/jamu-pahitan-bisa-bantu-tekan-asupan-karbohidrat-di-momen-idul-adha,2025-05-22T21:41:06,Antara News,Indonesia,id
Program swasembada pangan Prabowo dinilai dapat perkuat Indonesia,"Ketua Umum Masyarakat Pemerhati Pangan Mappan Indonesia, yang juga koordinator nasional TIM 8 Prabowo, Wignyo ...",https://www.antaranews.com/berita/4852425/program-swasembada-pangan-prabowo-dinilai-dapat-perkuat-indonesia,2025-05-22T21:35:09,Antara News,Indonesia,id
Kemendikdasmen Program Tahfidz Lamongan seimbang dan holistik,Kementerian Pendidikan Dasar dan Menengah Kemendikdasmen menilai program Lamongan Menghafal Tahfidz Al Quran ...,https://www.antaranews.com/berita/4852421/kemendikdasmen-program-tahfidz-lamongan-seimbang-dan-holistik,2025-05-22T21:34:05,Antara News,Indonesia,id
Satlantas Jaktim operasi ranjau paku di sepanjang Jalan DI Panjaitan,Satuan Lalu Lintas Polres Metro Jakarta Timur bersama unit Polsek Jatinegara melakukan operasi ranjau paku yang ada di ...,https://www.antaranews.com/berita/4852417/satlantas-jaktim-operasi-ranjau-paku-di-sepanjang-jalan-di-panjaitan,2025-05-22T21:32:56,Antara News,Indonesia,id
