title,description,url,published_date,source,country,language
Teachers union blocks press from National Palace Wednesdays mañanera recapped,"This morning, the president answered questions on trade and teachers salaries and gave an update on Mexico Citys investigation into the murder of the mayors secretary and advisor. The post Teachers union blocks press from National Palace Wednesdays mañanera recapped appeared first on Mexico News Daily",https://mexiconewsdaily.com/politics/teachers-union-blocks-press-national-palace-wednesdays-mananera-recapped/,2025-05-21T23:54:00,Mexico News Daily,Mexico,en
"Rubio says Mexico is more cooperative than ever before in cartel crackdown, aims to stop flow of arms south","In remarks before a House committee on Wednesday, Rubio was noticeably positive about U.S.-Mexico relations and announced a visit to Mexico in the coming weeks. The post Rubio says Mexico is more cooperative than ever before in cartel crackdown, aims to stop flow of arms south appeared first on Mexico News Daily",https://mexiconewsdaily.com/news/rubio-mexico-increasingly-cooperative-political-violence/,2025-05-21T23:08:03,Mexico News Daily,Mexico,en
Drilling in the Gulf of Mexico is endangering one of the worlds rarest whales,A new report estimates that offshore gas and oil activities in the Gulf could kill nine Rices whales of which there are fewer than 100 and harm hundreds of sea turtles over the next 45 years. The post Drilling in the Gulf of Mexico is endangering one of the worlds rarest whales appeared first on Mexico News Daily,https://mexiconewsdaily.com/gulf-coast/rices-whale-endangered-gulf/,2025-05-21T21:04:39,Mexico News Daily,Mexico,en
Ebrard US content in Mexico-assembled vehicles cuts export tariffs by 40,"Vehicles manufactured at U.S.-owned auto plants in Mexico have, on average, 40 U.S. content, reducing their tariff rate to 15. Japanese and German automakers, on the other hand, will face the full 25. The post Ebrard US content in Mexico-assembled vehicles cuts export tariffs by 40 appeared first on Mexico News Daily",https://mexiconewsdaily.com/business/ebrard-us-content-in-mexico-assembled-vehicles-cuts-export-tariffs-by-40/,2025-05-21T20:46:13,Mexico News Daily,Mexico,en
Passenger movement at Querétaro airport up by 25 in Q1,"Continuing its accelerated growth, QRO had its busiest March on record, with new nonstop routes to Madrid and Los Angeles coming soon. The post Passenger movement at Querétaro airport up by 25 in Q1 appeared first on Mexico News Daily",https://mexiconewsdaily.com/el-bajio/passenger-movement-at-queretaro-airport/,2025-05-21T19:17:45,Mexico News Daily,Mexico,en
Thinking of starting a business in Mexico? Heres what you need to know,"From incorporation to tax registry, a legal expert shares her advice on getting started in Mexico. The post Thinking of starting a business in Mexico? Heres what you need to know appeared first on Mexico News Daily",https://mexiconewsdaily.com/business/thinking-of-starting-a-business-in-mexico-heres-what-you-need-to-know/,2025-05-21T18:44:30,Mexico News Daily,Mexico,en
What is it like to visit Mexicos 50 Best Bars winners?,Whats in store for guests of Mexicos top cocktail bars? Mexico City expert Lydia Carey takes a look inside some of the winners. The post What is it like to visit Mexicos 50 Best Bars winners? appeared first on Mexico News Daily,https://mexiconewsdaily.com/food/what-its-like-to-visit-mexicos-50-best-bars-winners/,2025-05-21T16:51:02,Mexico News Daily,Mexico,en
Sundance Film Festival returns to Mexico City next weekend,"The world-renowned Sundance Film Festival is returning for a second CDMX edition with 15 features, five shorts and filmmaker panels at Cinépolis theaters, May 29June 1. The post Sundance Film Festival returns to Mexico City next weekend appeared first on Mexico News Daily",https://mexiconewsdaily.com/culture/sundance-film-festival-mexico-city-2025/,2025-05-21T01:04:00,Mexico News Daily,Mexico,en
Sheinbaum vows to deliver justice in double homicide of government aides Tuesdays mañanera recapped,"The president was informed of the murders in Mexico City during her Tuesday morning press conference, where she confirmed the details and conveyed condolences to the families of the victims on behalf of the federal government. The post Sheinbaum vows to deliver justice in double homicide of government aides Tuesdays mañanera recapped appeared first on Mexico News Daily",https://mexiconewsdaily.com/politics/sheinbaum-justice-double-homicide-government-aides-tuesdays-mananera-recapped/,2025-05-21T00:37:55,Mexico News Daily,Mexico,en
Mexican mountaineer sets Guinness Record after conquering worlds highest peaks and summits,"Viridiana Álvarez, 39, from the city of Aguascalientes, is the first woman to summit all of the worlds 14 peaks above 8,000 meters and the Seven Summits, the highest mountains on each continent. The post Mexican mountaineer sets Guinness Record after conquering worlds highest peaks and summits appeared first on Mexico News Daily",https://mexiconewsdaily.com/lifestyle/mexican-climber-first-woman-conquer-worlds-tallest-mountains/,2025-05-20T23:39:48,Mexico News Daily,Mexico,en
