title,description,url,published_date,source,country,language
Global leaders are condemning the fatal attack on two Israeli Embassy staffers. Heres what they said,Global leaders from North America to Asia to Europe have condemned the killings.,https://www.stuff.co.nz/world-news/360699062/global-leaders-are-condemning-fatal-attack-two-israeli-embassy-staffers-heres-what-they-said,2025-05-22T13:39:48,Stuff,New Zealand,en
North Korean naval destroyer damaged in serious accident as Kim Jong Un watched,"During a launching event, the newly built 5,000-ton-class destroyer became unbalanced as it was lowered into the water and was punctured.",https://www.stuff.co.nz/world-news/360699056/north-koreas-second-naval-destroyer-damaged-failed-launch-attended-kim,2025-05-22T12:14:40,Stuff,New Zealand,en
House Republicans pass Trumps big bill of tax breaks and program cuts after all-night session,"With last-minute concessions and stark warnings from Trump, the Republican holdouts largely dropped their opposition to salvage the One Big Beautiful Bill thats central to the GOP agenda.",https://www.stuff.co.nz/world-news/360699055/house-republicans-pass-trumps-big-bill-tax-breaks-and-program-cuts-after-all-night-session,2025-05-22T11:44:41,Stuff,New Zealand,en
Fire crews respond to Central Otago building fire,"Initial reports suggested people were trapped inside, but fire crews have since cleared the building.",https://www.stuff.co.nz/nz-news/360699023/fire-crews-respond-central-otago-building-fire,2025-05-22T08:00:33,Stuff,New Zealand,en
"Womens pay and retirement funds paying for Budget 2025, Labour says","Hundreds protested outside Parliament as the National-led coalition revealed its Budget for 2025, much of which was funded by tightening pay equity rules.",https://www.stuff.co.nz/politics/360698890/womens-pay-and-retirement-funds-paying-budget-2025-labour-says,2025-05-22T07:47:37,Stuff,New Zealand,en
"Live Willis raiding retirement funds to save the Budget, Labour says",Labour leader Chris Hipkins says the Governments cutback to its KiwiSaver contributions means it is raiding the retirement funds of New Zealanders.,https://www.stuff.co.nz/politics/360605837/live-budget-2025-blog,2025-05-22T07:26:51,Stuff,New Zealand,en
Budget Pou Tiaki panel gives the No-BS Budget the sniff test for community voices,"Finance Minister Nicola Willis dubbed it the no-BS Budget, but does the Governments spending pass the sniff test from Pou Tiakis panel?",https://www.stuff.co.nz/nz-news/360698264/budget-pou-tiaki-panel-gives-no-bs-budget-sniff-test-community-voices,2025-05-22T07:14:30,Stuff,New Zealand,en
Fashion brand closes flagship Auckland store after 21 amazing years,The Carlson in Aucklands Ponsonby is set to close in June.,https://www.stuff.co.nz/nz-news/360698995/its-time-us-evolve-fashion-brand-carlson-shut-ponsonby-store,2025-05-22T07:11:55,Stuff,New Zealand,en
Air NZ flight cancelled after plane hits airbridge,"Flight NZ146 from Brisbane to Auckland was pushing back from the gate when the plane made contact with the airbridge, thereby requiring a full inspection.",https://www.stuff.co.nz/travel/360699006/air-nz-flight-cancelled-after-plane-hits-airbridge,2025-05-22T06:45:40,Stuff,New Zealand,en
Overtourism? Never heard of it. Add these under-visited destinations to your Euro summer trip,"May marks the month when my social media feeds start being littered with Kiwis and Aussies zig-zagging the Mediterranean and the metropolises of Europe. Im often left muttering oh, but you missed...",https://www.stuff.co.nz/travel/360697048/overtourism-never-heard-itadd-these-under-visited-destinations-your-euro-summer-trip,2025-05-22T06:36:04,Stuff,New Zealand,en
A funding boost for private education - and other Budget surprises,"Good news for parents who send their kids to private schools, but bad news for teenagers who dont have jobs.",https://www.stuff.co.nz/politics/360698955/funding-boost-private-education-and-other-budget-surprises,2025-05-22T06:31:30,Stuff,New Zealand,en
Hunterville fights to keep rural towns only police officer,"If the operational decision goes ahead, the closest officer will be based almost 30 minutes away and residents say this will mean longer response times and more crime.",https://www.stuff.co.nz/nz-news/360695327/hunterville-fights-keep-rural-towns-only-police-officer-wake-resignation,2025-05-22T06:00:00,Stuff,New Zealand,en
What the changes to KiwiSaver mean for you,"The default employee contribution will increase, and the annual Government contribution will be cut in half. Heres what you need to know.",https://www.stuff.co.nz/nz-news/360698599/budget-2025-kiwisaver-changes-explained,2025-05-22T05:57:58,Stuff,New Zealand,en
"Funding cut for RNZ as minister issues challenge to improve reach, trust","Budget 2025 has reduced the public broadcasters funding by 4.6m per year, approximately 7 of its annual Crown operating budget.",https://www.stuff.co.nz/politics/360698953/funding-cut-rnz-minister-issues-challenge-improve-reach-trust,2025-05-22T05:56:02,Stuff,New Zealand,en
Australian woman who set friend on fire for misogynistic comment sentenced,Corbie Walpole has been sentenced to seven and a half years in prison for setting Jake Loader on fire after he said she should be in the kitchen.,https://www.stuff.co.nz/world-news/360698945/australian-woman-who-set-friend-fire-misogynistic-comment-sentenced,2025-05-22T05:52:20,Stuff,New Zealand,en
Watch Sam Hayes and economist Brad Olsen on Budget 2025,Whats in and whats out? ThreeNews presenter Sam Hayes breaks down todays financials with economist Brad Olsen.,https://www.stuff.co.nz/politics/360698897/sam-hayes-and-economist-brad-olsen-budget-2025,2025-05-22T04:43:02,Stuff,New Zealand,en
Tom Cruise is 62. How are the Mission Impossible stunts getting more extreme?,"Most of us will never need to dangle in the air from a flying plane, sprint across a rooftop or ride a motorcycle over a cliff, but theres a fitness message for us all in what Tom Cruise can still do.",https://www.stuff.co.nz/culture/360698826/tom-cruise-62-how-are-mission-impossible-stunts-getting-more-extreme,2025-05-22T04:06:37,Stuff,New Zealand,en
Watch Pacers hit buzzer-beating bomb en route to dramatic NBA win,The Indiana Pacers are the only road team in history to win a playoff game after being down by 14-plus points inside three minutes.,https://www.stuff.co.nz/sport/360698789/pacers-hit-buzzer-beating-bomb-en-route-winning-game-one-eastern-conference-finals-overtime,2025-05-22T03:56:25,Stuff,New Zealand,en
Unprovoked Man who sprinted from public gallery and punched judge is jailed,Ryan Brown had just been let out of a methamphetamine respite care programme when he was sat in the public gallery of the Wellington District Court and sprinted forwad and punched a judge.,https://www.stuff.co.nz/nz-news/360697694/unprovoked-man-who-sprinted-forward-and-punched-judge-jailed,2025-05-22T03:41:54,Stuff,New Zealand,en
"Locals pay 200k for Seftons quaint, vintage library",The little concrete library that was the heart of this tiny Canterbury town for almost 70 years has found a local buyer.,https://www.stuff.co.nz/home-property/360698077/locals-pay-200k-seftons-quaint-vintage-library,2025-05-22T03:31:24,Stuff,New Zealand,en
The one piece of advice Kate Winslet gave her actor daughter,"Kate Winslet had some advice for her daughter but in Cannes this week, it was all about the work.",https://www.stuff.co.nz/culture/360698717/one-piece-advice-kate-winslet-gave-her-actor-daughter,2025-05-22T03:24:03,Stuff,New Zealand,en
The winners and losers of Budget 2025,"Among the big ticket items are some clear winners, and some less obvious losers. Heres who they are.",https://www.stuff.co.nz/nz-news/360698559/budget-2025-winners-and-losers,2025-05-22T03:21:19,Stuff,New Zealand,en
Paddy Gower My five Budget positives,"OPINION Cash spray, bigger Kiwisaver, less crappy economy, money for Nana and Pop, dollars for private schools",https://www.stuff.co.nz/nz-news/360698428/paddy-gower-my-five-budget-positives,2025-05-22T03:12:59,Stuff,New Zealand,en
Massive cleanout of coaching staff at Wellington Phoenix,Giancarlo Italiano will definitely be the one to turn the lights out as hes just about the last man standing.,https://www.stuff.co.nz/sport/360698466/massive-cleanout-coaching-staff-wellington-phoenix-after-poor-season,2025-05-22T03:05:40,Stuff,New Zealand,en
"Natalie Portman, John Krasinski go on an adventure with Fountain of Youth",The spirit of Indiana Jones is baked into the essence of the new movie Fountain of Youth.,https://www.stuff.co.nz/culture/360698007/natalie-portman-and-john-krasinski-embark-globe-trotting-adventure-fountain-youth,2025-05-22T03:01:40,Stuff,New Zealand,en
Its over Troubled Indian Panthers withdraw from NBL hoops league,The expansion franchise has bowed out of New Zealands national basketball league part way through a problematic debut season.,https://www.stuff.co.nz/sport/360698580/indian-panthers-withdraw-new-zealand-nbl-unable-meet-conditions-continue,2025-05-22T03:00:22,Stuff,New Zealand,en
"PM quiz In Roswell, USA, what is the local McDonalds shaped like?",Stuff afternoon quiz May 22,https://www.stuff.co.nz/quizzes/360655473/stuff-quiz-afternoon-trivia-challenge-may-22-2025,2025-05-22T03:00:00,Stuff,New Zealand,en
The key numbers in the Budget,A look at the key numbers in Budget 2025.,https://www.stuff.co.nz/nz-news/360698590/budget-2025-numbers,2025-05-22T02:53:39,Stuff,New Zealand,en
Relief for SuperGold cardholders in Budget,"The budget promises to expand rates relief by 66,000 seniors.",https://www.stuff.co.nz/nz-news/360698527/budget-2025-rates-relief-supergold-cardholders,2025-05-22T02:41:59,Stuff,New Zealand,en
Air New Zealand to resume flights to this Pacific Island,The route has been on pause for almost a year.,https://www.stuff.co.nz/travel/360698055/air-new-zealand-resume-flights-pacific-island,2025-05-22T02:32:31,Stuff,New Zealand,en
"KiwiSaver, pay equity and benefits make up the Governments savings",ANALYSIS The Government has found 5b in savings per year.,https://www.stuff.co.nz/politics/360698508/where-did-government-get-its-savings-kiwisaver-pay-equity-and-benefits,2025-05-22T02:31:26,Stuff,New Zealand,en
Budget 2025 is a bit bitsy - here are the best bits,"ANALYSIS So it could be called Bitter or Backhanded, but Ive landed on Bitsy because thats what it is.",https://www.stuff.co.nz/nz-news/360698449/budget-2025-bit-bitsy-here-are-best-bits,2025-05-22T02:25:16,Stuff,New Zealand,en
"Youre angry, but were human Ardie Savea on refereeing blunder against Moana",Coach Tana Umaga and their inspirational captain were baffled but had some sympathy for the officials in the controversy from their win over the Blues.,https://www.stuff.co.nz/sport/360698175/tana-umaga-and-ardie-savea-commend-officials-admitting-error-against-moana-pasifika,2025-05-22T02:23:43,Stuff,New Zealand,en
"Ozempic teeth, the latest alarming side effect of weightloss drugs","As injectable weight-loss drugs like Ozempic and Mounjaro surge in popularity, dentists are now sounding the alarm on a troubling oral issue Ozempic teeth.",https://www.stuff.co.nz/wellbeing/360698168/ozempic-teeth-latest-alarming-side-effect-weightloss-drugs,2025-05-22T02:15:04,Stuff,New Zealand,en
Trio of electric vehicles score top crash safety marks,"Latest plug-ins from Tesla, MG and Kia earn 5-star safety ratings.",https://www.stuff.co.nz/motoring/360698382/trio-electric-vehicles-score-top-crash-safety-marks,2025-05-22T02:04:28,Stuff,New Zealand,en
Run It competitor seen on video convulsing after hit at Auckland event,After being knocked to the ground the man appeared shaken and his body was visibly convulsing as people came to his rescue.,https://www.stuff.co.nz/sport/360697519/two-reportedly-injured-run-it-straight-event,2025-05-22T01:53:22,Stuff,New Zealand,en
Iconic Wellington cafe taking three months off,The Cuba St institution is to close and will be under construction for about three months.,https://www.stuff.co.nz/food-drink/360698239/wellingtons-fidels-cafe-taking-three-months,2025-05-22T01:34:31,Stuff,New Zealand,en
"Watch Temuera Morrison, Cliff Curtis and Jason Momoa in Chief of War teaser trailer",The Apple TV historical drama tells the story of Hawaiian unification at the turn of the 18th century.,https://www.stuff.co.nz/culture/360698294/watch-temuera-morrison-cliff-curtis-and-jason-momoa-chief-war-teaser-trailer,2025-05-22T01:26:21,Stuff,New Zealand,en
"Road test GWM Tank 300 Diesel, gutsy 4x4 gets the engine it deserves",New diesel engine and revised safety assist systems help already capable 4x4 make big gains.,https://www.stuff.co.nz/motoring/360694572/road-test-gwm-tank-300-diesel-gutsy-4x4-gets-engine-it-deserves,2025-05-22T01:25:36,Stuff,New Zealand,en
The nonsense that became a cult game show even border security guards love,"It was a low-key show with high-stakes drama, now Montgomerys Guy Mont Spelling Bee is back.",https://www.stuff.co.nz/culture/360698171/nonsense-became-cult-game-show-even-border-security-guards-love,2025-05-22T01:25:27,Stuff,New Zealand,en
Watch Nemo is shrinking to survive the heat,"Real-life clownfish are shrinking their bodiespossibly even their skeletonsto survive marine heatwaves, according to a world-first climate study.",https://www.stuff.co.nz/climate-change/360698238/clownfish-shrink-their-bodies-survive-ocean-heat-waves,2025-05-22T01:17:36,Stuff,New Zealand,en
We pay a s...load of rates Anger over Napier beach barriers,"Steve Dean says hell be driving the long way along the beach to his usual fishing spot, even if he risks being fined.",https://www.stuff.co.nz/nz-news/360698220/napier-fisherman-plans-skirt-round-beach-barriers-we-pay-sload-rates,2025-05-22T01:01:02,Stuff,New Zealand,en
Hurricanes standout played 25 minutes with season-ending broken leg,Riley Higgins Super Rugby season is over after a serious injury was discovered before the Hurricanes flew to Brisbane to play the Reds.,https://www.stuff.co.nz/sport/360697851/hurricanes-second-five-eighth-riley-higgins-played-25-minutes-season-ending-broken-leg,2025-05-22T01:00:00,Stuff,New Zealand,en
OpenAI recruits legendary iPhone designer Jony Ive to work on AI products,The ChatGPT parent has recruited Ive to lead a new hardware project.,https://www.stuff.co.nz/business/360698190/openai-recruits-legendary-iphone-designer-jony-ive-work-ai-hardware-nz11b-deal,2025-05-22T00:43:18,Stuff,New Zealand,en
The surprising new safety feature on Air NZs new-look premium seats,Passengers will notice a few tweaks to the usual aircraft seat design.,https://www.stuff.co.nz/travel/360697992/surprising-new-safety-feature-air-nzs-new-look-premium-seats,2025-05-22T00:30:59,Stuff,New Zealand,en
Kim Kardashian graduates law school,"In the six years it took, the reality star failed the baby bar exam three times and spent over five thousand hours studying.",https://www.stuff.co.nz/culture/360698067/kim-kardashian-graduates-law-school-after-six-years,2025-05-22T00:20:52,Stuff,New Zealand,en
Quiz The Hard Word May 22,"One word, one clue, one minute. Can you solve todays Hard Word?",https://www.stuff.co.nz/quizzes/360631784/stuff-quiz-hard-word-may-22-2025,2025-05-22T00:11:11,Stuff,New Zealand,en
How a scientist who studies super agers exercises for a longer life,"Cardiologist Eric Topol, 70, spent years researching healthy ageing. Now, he lives by what hes learned.",https://www.stuff.co.nz/wellbeing/360698046/how-scientist-who-studies-super-agers-exercises-longer-life,2025-05-22T00:04:20,Stuff,New Zealand,en
Man dies after being found with critical injuries at Far North property,"A homicide investigation has been launched - the eighth, at least, in the Northland region this year.",https://www.stuff.co.nz/nz-news/360697781/man-dies-after-being-found-critical-injuries-far-north-property,2025-05-21T23:56:32,Stuff,New Zealand,en
Man who heckled Winston Peters says hes apologetic after incident,The man under employment investigation after heckling Deputy Prime Minister Winston Peters is reportedly upset about the incident and says he is apologetic.,https://www.stuff.co.nz/nz-news/360698088/wellington-train-station-heckler-says-hes-apologetic-after-incident-winston-peters,2025-05-21T23:55:31,Stuff,New Zealand,en
"Spike Lee on the collision of his two passions, the Knicks and cinema, in Cannes","Theres no sufficient way of explaining what its like to be around Spike Lee, but his new film, Highest 2 Lowest comes pretty close.",https://www.stuff.co.nz/culture/360698048/spike-lee-collision-his-two-passions-knicks-and-cinema-cannes,2025-05-21T23:40:04,Stuff,New Zealand,en
"NBA MVP crowned, and for the seventh year in a row to a player born outside USA","Its now seven straight years that a player born outside the U.S. won MVP, extending the longest such streak in league history.",https://www.stuff.co.nz/sport/360698015/shai-gilgeous-alexander-voted-nbas-mvp-continuing-run-international-players-winning-award,2025-05-21T23:34:13,Stuff,New Zealand,en
More opportunities to head to Europe and Asia from Christchurch this summer,Singapore Airlines is increasing its services by four flights a week from November.,https://www.stuff.co.nz/travel/360697953/christchurch-get-more-international-flights-summer,2025-05-21T23:16:12,Stuff,New Zealand,en
No place for Auckland FCs semifinal goalscorer in All Whites squad,Logan Rogerson hasnt made the cut for coach Darren Bazeley ahead of a pair of friendlies in Canada next month.,https://www.stuff.co.nz/sport/360696943/no-place-auckland-fcs-semifinal-goalscorer-logan-rogerson-all-whites-squad,2025-05-21T23:00:00,Stuff,New Zealand,en
Tourist pays nearly 3k for two drinks and a packet of chips. Why his bank wont refund him,The Dutch holidaymaker reportedly checked the amount on the machine before entering his PIN code and approving the payment.,https://www.stuff.co.nz/travel/360697692/tourist-pays-nearly-3000-two-drinks-and-packet-chips-mexico-why-his-bank-wont-refund-him,2025-05-21T22:04:53,Stuff,New Zealand,en
Worlds best sevens player given test debut for Black Ferns at No 7,The world champions have introduced more sevens stars as they aim to regain one title against the United States in Auckland.,https://www.stuff.co.nz/sport/360696554/sevens-player-year-jorja-miller-named-black-ferns-test-debut-against-united-states,2025-05-21T22:00:00,Stuff,New Zealand,en
500 job applications in 12 months - a jobseekers struggle,Allister Benson has been made redundant three times in the past 24 months and says its tough going in the job market at the moment.,https://www.stuff.co.nz/money/360697768/500-job-applications-12-months-jobseekers-struggle,2025-05-21T21:33:36,Stuff,New Zealand,en
Tottenham beat Man United to win Europa League title and end long trophy drought,It is the first major title for Tottenham since it won the English League Cup in 2008.,https://www.stuff.co.nz/sport/360697544/tottenham-beat-man-united-win-europa-league-title-and-end-long-trophy-drought,2025-05-21T21:05:11,Stuff,New Zealand,en
Honda pulls back on EV strategy for now to push hybrid sales,The environment surrounding the automobile industry is changing day by day.,https://www.stuff.co.nz/motoring/360697665/honda-pulls-back-ev-strategy-now-push-hybrid-sales,2025-05-21T20:30:49,Stuff,New Zealand,en
All Blacks midfielder recommits for two more years,The 30-year-old turned down multiple overseas offers to continue on as Crusaders captain.,https://www.stuff.co.nz/sport/360696616/crusaders-captain-david-havili-re-signs-new-zealand-rugby-through-2027,2025-05-21T20:00:00,Stuff,New Zealand,en
"First-home buyers are getting into market with less savings, data shows",Forget saving a 20 per cent deposit - large numbers of first-home buyers are getting into the market with much smaller levels of savings.,https://www.stuff.co.nz/home-property/360697597/first-home-buyers-are-getting-market-less-savings-data-shows,2025-05-21T19:20:10,Stuff,New Zealand,en
Rob Thomas of Matchbox 20 announces first solo tour in NZ,"Thomas is set to come to Auckland, Wellington and Christchurch in November.",https://www.stuff.co.nz/culture/360697081/rob-thomas-matchbox-20-announces-three-shows-first-nz-solo-tour,2025-05-21T19:00:00,Stuff,New Zealand,en
Who killed Geoff Ware? Partner found adorable farmer fatally injured at home,"As a small community reels from a humble farmers death, his partner Rita Tawhai has spoken out saying she believes she knows whos responsible.",https://www.stuff.co.nz/nz-news/360697283/who-killed-geoff-ware-partner-found-adorable-farmer-fatally-injured-home,2025-05-21T17:00:00,Stuff,New Zealand,en
Patient harm warning as heart surgery delays laid bare,"New wait list figures obtained by Stuff show extensive delays for cardiac surgery, which specialists warn are putting lives at risk.",https://www.stuff.co.nz/nz-news/360697002/patient-harm-warning-heart-surgery-delays-laid-bare-new-figures,2025-05-21T17:00:00,Stuff,New Zealand,en
The West Coast company supplying Costco with its low-price butter,Who is making this butter and how can it sell for so much less?,https://www.stuff.co.nz/business/360696358/what-westland-milk-products-supplier-costcos-low-price-butter,2025-05-21T17:00:00,Stuff,New Zealand,en
4 ways to make your house germier  in a good way,"The world around us, including our homes, is full of microorganisms such as bacteria, viruses and fungi, and many of these are actually good for us.",https://www.stuff.co.nz/home-property/360691884/4-ways-make-your-house-germier-good-way,2025-05-21T17:00:00,Stuff,New Zealand,en
Explained Whats happening with youth suicide rates and whats beneath the numbers?,University of Auckland researchers have challenged youth suicide numbers in the latest Unicef report - but a deeper tragedy lays beneath it all.,https://www.stuff.co.nz/nz-news/360696527/explained-whats-happening-youth-suicide-rates-and-whats-beneath-numbers,2025-05-21T17:00:00,Stuff,New Zealand,en
No evidence refugees pose security risk to NZ but new bill targets them anyway,"Stuff can reveal that over the past 10 years, no refugee has been certified as posing a national security risk under the Immigration Act.",https://www.stuff.co.nz/politics/360695482/no-evidence-show-refugees-pose-security-risk-nz-new-bill-targets-them-anyway,2025-05-21T17:00:00,Stuff,New Zealand,en
Job ads rise again as new report sees signs market may be stabilising,"Modest growth continues, with retail and tech sectors showing strong gains, according to SEEK.",https://www.stuff.co.nz/business/360697236/job-ads-rise-again-seek-reports-signs-market-may-be-stabilising,2025-05-21T12:15:00,Stuff,New Zealand,en
Wellingtons ugly duckling villa returns to market as a swan,"They called it the ugly duckling beside its elegant sisters. Now, this vintage home has been transformed into a heritage swan.",https://www.stuff.co.nz/home-property/360696524/wellingtons-ugly-duckling-villa-returns-market-swan,2025-05-21T03:42:27,Stuff,New Zealand,en
This is the new face of the best-selling car in New Zealand,"Toyota has revealed the sixth-generation RAV4, coming with plug-in power and a brand-new GR Sport variant.",https://www.stuff.co.nz/motoring/360696800/new-face-best-selling-car-new-zealand,2025-05-21T02:00:00,Stuff,New Zealand,en
Major US newspapers ran a summer reading list. AI made up book titles,The Chicago Sun-Times and the Philadelphia Inquirer printed a special section that included articles written using generative AI.,https://www.stuff.co.nz/society/360696780/major-newspapers-ran-summer-reading-list-ai-made-book-titles,2025-05-21T01:26:01,Stuff,New Zealand,en
