title,description,url,published_date,source,country,language
"Portnovs killer fired at least 9 shots, fled with two accomplices  EFE",Authorities are now analyzing footage from nearby CCTV cameras to identify potential suspects and gather additional evidence,https://tass.com/world/1962045,2025-05-22T17:46:03,TASS,Russia,en
Berlin worried US may jettison Ukraine in favor of partnership with Russia  media,"In Berlins view, this would constitute a worst-case scenario",https://tass.com/world/1962043,2025-05-22T17:38:18,TASS,Russia,en
Increasing number of extraregional players trying to interfere in Caspian affairs  Lavrov,"Russia consistently assumes that five Caspian countries have the sole competence to resolve the Caspian issues, the Russian top diplomat stressed",https://tass.com/politics/1962041,2025-05-22T17:30:21,TASS,Russia,en
Iran to deliver devastating blow on Israel if nuclear facilities attacked  IRGC,"According to CNNs sources in US ruling circles, the probability of such an attack has increased significantly in recent months",https://tass.com/world/1962037,2025-05-22T17:27:49,TASS,Russia,en
Ukraine hits behind Russian lines with drones to disrupt military supply routes  MP,"According to the Russian Defense Ministry, air defenses downed 485 Ukrainian drones over Russias constituencies between 5 p.m. GMT on May 20 and 5 a.m. GMT on May 22",https://tass.com/politics/1962021,2025-05-22T16:58:37,TASS,Russia,en
Bank of Russia developed new approach to determining systemic banks,The systemic significance buffer is called to cover higher risk the financial system and the economy may sustain in case the systemic bank loses financial stability,https://tass.com/economy/1962017,2025-05-22T16:52:11,TASS,Russia,en
Tatnefts oil resources enough for 200 years at current production level  CEO,"According to Nail Maganov, total oil reserves of Tatneft stand at 10.5 bln metric tons",https://tass.com/economy/1962013,2025-05-22T16:46:11,TASS,Russia,en
Israeli army orders evacuation of 14 Gaza neighborhoods  media,Israeli authorities declared that these territories henceforth are dangerous zones in which the army intends to expand fighting and intensify its presence,https://tass.com/world/1962011,2025-05-22T16:42:59,TASS,Russia,en
Vatican not directly involved in organizing Ukraine talks  newspaper,The preparation process is largely coordinated by Italian Prime Minister Giorgia Meloni,https://tass.com/world/1962007,2025-05-22T16:40:25,TASS,Russia,en
Swiss Federal Tribunal rejects Russian biathlete Ustyugovs appeal on medals revocation,"Yevgeny Ustyugov won the gold medal in the mass start event and the bronze medal in mens team relay at the 2010 Winter Olympic Games in Vancouver, Canada, taking another gold at the 2014 Winter Olympic Games held in Sochi, Russia",https://tass.com/sports/1962003,2025-05-22T16:30:02,TASS,Russia,en
No reason to panic over US Golden Dome plans  senior Russian diplomat,"Sergey Ryabkov also noted that with the Golden Dome defensive shield, the air defense system receives space-located interceptors, which is extremely destabilizing",https://tass.com/politics/1961999,2025-05-22T16:28:11,TASS,Russia,en
Gazprom may not pay 2024 dividends,Gazprom directors also approved the agenda of the annual general meeting,https://tass.com/economy/1961985,2025-05-22T15:59:45,TASS,Russia,en
Air defenses repel attack by four more drones flying towards Moscow  mayor,"Since the beginning of the day, the air defenses have downed 38 drones heading towards the capital",https://tass.com/emergencies/1961983,2025-05-22T15:57:58,TASS,Russia,en
Clean Arctic volunteers to lift combat aircraft out of water near Novaya Zemlya,"In July, 1942, in a battle with the German submarine U-601, the Catalina aircrafts crew was killed",https://tass.com/economy/1961969,2025-05-22T15:52:38,TASS,Russia,en
Houthis want to double capabilities for expanded operations against Israel  statement,"According to military spokesman Yahya Saree, the so-called support operations that the Houthis are carrying out in solidarity with the Palestinians involve a blockade of Ben-Gurion Airport, a ban on all ships entering the port of Haifa",https://tass.com/world/1961975,2025-05-22T15:50:46,TASS,Russia,en
Investment in Arctic master plans implementation to amount to 1.3 billion,"All master plans have been prepared and reported to the president, the presidents envoy to the Far Eastern Federal District Yury Trutnev said",https://tass.com/economy/1961965,2025-05-22T15:48:14,TASS,Russia,en
US to be complicit in potential Israeli attack on Irans nuclear facilities  MFA,Iranian Foreign Minister Abbas Araghchi added that Teherans nuclear program is under comprehensive IAEA monitoring and none of the agencys reports have indicated any deviation from its peaceful nature,https://tass.com/world/1961973,2025-05-22T15:48:05,TASS,Russia,en
Increase of duties on Russian fertilizers by EU to affect poorest countries,"Russian producers will continue developing cooperation with partners in other regions of the globe, the Russian Association of Fertilizer Producers noted",https://tass.com/economy/1961971,2025-05-22T15:46:05,TASS,Russia,en
Investments in Arctic geology exploration make almost 2 billion in 2024,"The Arctic contains significant mineral reserves 95 of Russias all platinum reserves, 76 of rare earth metals, 74 of gas, 73 of nickel, 55 of cobalt, and 29 of oil, Minister of Natural Resources and Environment Alexander Kozlov noted",https://tass.com/economy/1961961,2025-05-22T15:45:38,TASS,Russia,en
Shipping has no negative impact on Arctic ecosystem  minister,"Russia will pursue a balanced policy and will discourage any attempts to restrain the development of the Russian Arctic, Alexey Chekunkov went on to say",https://tass.com/economy/1961963,2025-05-22T15:45:30,TASS,Russia,en
