title,description,url,published_date,source,country,language
Teachers and doctors in England offered 4 pay rise,Ministers accept recommended pay awards above the 2.8 they previously budgeted for.,https://www.bbc.com/news/articles/clyv1vxkdjyo,2025-05-22T14:32:09,BBC News,UK,en
"UK net migration in 2024 almost halves to 431,000, ONS estimates",The ONS says the yearly decline in net migration is the biggest numerical drop on record.,https://www.bbc.com/news/articles/ckgx3ekkw1eo,2025-05-22T11:29:36,BBC News,UK,en
Fact-checking Trumps Oval Office confrontation with Ramaphosa,"President Trump made a series of claims about the killing of white farmers in South Africa, some of which are demonstrably false.",https://www.bbc.com/news/articles/ce9vxve994ro,2025-05-22T13:53:56,BBC News,UK,en
90 lorry loads of humanitarian aid now in Gaza after three-day delay,"The aid, including flour and baby food, was picked up three days after Israel eased an 11-week-long blockade.",https://www.bbc.com/news/articles/czdyv3jp5elo,2025-05-22T13:21:33,BBC News,UK,en
Prisoners to be eligible for release after serving a third of sentence,But the justice secretary says she rejects recommendations for earlier releases of the most serious offenders.,https://www.bbc.com/news/articles/c071d1jgevlo,2025-05-22T14:07:45,BBC News,UK,en
Missing Viking treasure coin unearthed in London,"The coin, believed to belong to the Herefordshire Hoard, has been found for sale in Croydon, London.",https://www.bbc.com/news/articles/c20qq4g17vzo,2025-05-22T05:11:57,BBC News,UK,en
"Women with dense breasts should have extra NHS cancer scans, researchers say",Additional scans better tailored to spotting cancer in dense breasts could treble detection rates.,https://www.bbc.com/news/articles/cn0gg7p015jo,2025-05-21T23:02:47,BBC News,UK,en
What we know so far,"Police say the victims, a young couple, were shot by a man who shouted free, free Palestine.",https://www.bbc.com/news/articles/c8xgv4p114wo,2025-05-22T14:24:16,BBC News,UK,en
Watch Moment Jewish Museum shooting suspect is detained,Video appears to show suspect Elias Rodriguez being taken away by police and shouting free Palestine.,https://www.bbc.com/news/videos/cqxe20l1lyro,2025-05-22T07:00:14,BBC News,UK,en
Victims were young couple who were to marry,"Yaron Lischinsky bought engagement ring days before he and girlfriend Sarah Milgrim were killed in Washington, ambassador says.",https://www.bbc.com/news/articles/ckgn6nd3wlvo,2025-05-22T11:21:18,BBC News,UK,en
Watch BBC at the scene of the shooting,The BBCs North America correspondent Nomia Iqbal takes us through what we know about the shooting so far.,https://www.bbc.com/news/videos/cx2ev75wyp8o,2025-05-22T08:08:36,BBC News,UK,en
We wanted to write a song that would be fantastic forever Pulps Common People turns 30,"Thirty years after its release, what made Pulps Common People one of Britpops defining anthems.",https://www.bbc.com/news/articles/cly34el5py7o,2025-05-22T05:04:21,BBC News,UK,en
Gazans fear shutdown of water plants as Israel widens offensive,"Parents say children are having to drink unsafe and salty water, as fuel shortages threaten desalination and hygiene facilities.",https://www.bbc.com/news/articles/ced227p84n4o,2025-05-22T04:31:31,BBC News,UK,en
Numbers are down - but Starmer will still struggle to win on immigration,"New figures show a fall in net migration. But still, Labour will struggle to soothe public concern, writes our senior correspondent Allan Little.",https://www.bbc.com/news/articles/cyvmmldmvq4o,2025-05-22T02:01:40,BBC News,UK,en
"Watch Deep inside a Norwegian mountain, Nato allies train for Arctic war",Europe editor Katya Adler gains access to a secret HQ and Norwegian warships leading military exercises.,https://www.bbc.com/news/videos/cy0jjxnd8weo,2025-05-22T05:10:24,BBC News,UK,en
The Victorian scam artist who duped an island,Peterhead-born Annie Gordon Baillie saw an opportunity to make a fortune from Skyes violent Crofters War.,https://www.bbc.com/news/articles/cjdznl0pppvo,2025-05-22T05:29:35,BBC News,UK,en
What Trumps choreographed Oval Office attack on Ramaphosa tells us,The BBCs Gary ODonoghue analyses how the South African president reacted in an extraordinary Oval Office meeting.,https://www.bbc.com/news/articles/c753rlw4430o,2025-05-22T01:48:07,BBC News,UK,en
Wild camping on Dartmoor is not about large tents and fairy lights,The message comes after the legal right to wild camp on Dartmoor was upheld by the Supreme Court.,https://www.bbc.com/news/articles/c23mmyd1kdpo,2025-05-22T05:08:29,BBC News,UK,en
UK signs deal to hand Chagos Islands to Mauritius,"Under the deal, the UK will lease back the Diego Garcia military base for 101m a year.",https://www.bbc.com/news/articles/c9914ndy82po,2025-05-22T14:35:05,BBC News,UK,en
Train hits tractor and trailer blocking rail routes,"The train has not been derailed, but some people on board the Manchester-to -Cardiff service have been injured.",https://www.bbc.com/news/articles/cly3885e58no,2025-05-22T13:29:24,BBC News,UK,en
Nike to raise US prices as firms face tariffs uncertainty,The US sportswear giant says its price increases are part of seasonal planning.,https://www.bbc.com/news/articles/c3315er3gygo,2025-05-22T14:05:30,BBC News,UK,en
Tax rise warning after higher-than-expected government borrowing,"Government borrowing hit 20.2bn in April, leading analysts to say the prospect of tax rises later this year is increasing.",https://www.bbc.com/news/articles/c3e55l8zx4go,2025-05-22T10:47:32,BBC News,UK,en
Worlds greatest designer Jony Ive joins OpenAI to reimagine computers,"The man who designed the iPad, iMac and iPhone will try to come up with a new generation of products for the AI era.",https://www.bbc.com/news/articles/c5y66yemjdmo,2025-05-22T10:39:50,BBC News,UK,en
Kneecap member charged with terror offence,"Liam Ó hAnnaidh, 27, has been charged after allegedly displaying a flag in support of Hezbollah, the Met Police says.",https://www.bbc.com/news/articles/cx2qq2n3800o,2025-05-22T13:52:01,BBC News,UK,en
BBC News app,"Top stories, breaking news, live reporting, and follow news topics that match your interests",https://www.bbc.co.uk/news/10628994,2025-04-30T14:04:28,BBC News,UK,en
Are Israels Allies Turning Against Them?,UK suspends Israel trade talks and summons ambassador over intolerable Gaza offensive,https://www.bbc.co.uk/sounds/play/p0lcdr4v,2025-05-20T17:07:00,BBC News,UK,en
We speak to CNNs Jake Tapper on the cover-up behind Joe Bidens decline,"New claims of who was involved at the White House, and when it started",https://www.bbc.co.uk/sounds/play/p0lbz44b,2025-05-18T06:02:00,BBC News,UK,en
Yinka Bokinni explores the life of Sean Diddy Combs,Yinka Bokinni explores rap mogul Sean Combss life and the criminal charges he denies.,https://www.bbc.co.uk/iplayer/episode/m002bl0x?at_mid=uw1B7PiZo5&at_campaign=P_Diddy_The_Rise_and_Fall&at_medium=display_ad&at_campaign_type=owned&at_audience_id=SS&at_product=iplayer&at_brand=m002bl0x&at_ptr_name=bbc&at_ptr_type=media&at_format=image&at_objective=consumption&at_link_title=P_Diddy_The_Rise_and_Fall&at_bbc_team=BBC,2025-04-28T20:00:00,BBC News,UK,en
A unique perspective on a turbulent year in the Lake District,Shepherds and sheepdogs oversee the flocks of pregnant sheep returning from the mountains.,https://www.bbc.co.uk/iplayer/episode/m002d2fv?at_mid=bsTt398yMn&at_campaign=The_Lake_District_A_Wild_Year_Sheep&at_medium=display_ad&at_campaign_type=owned&at_audience_id=SS&at_product=iplayer&at_brand=m002d2fv&at_ptr_name=bbc&at_ptr_type=media&at_format=image&at_objective=consumption&at_link_title=The_Lake_District_A_Wild_Year_Sheep&at_bbc_team=BBC,2025-05-21T19:00:00,BBC News,UK,en
I play 20 minutes - Garnacho puts Man Utd future in doubt,Manchester United winger Alejandro Garnacho questions Ruben Amorims team selection after defeat by Tottenham in Europa League final.,https://www.bbc.com/sport/football/articles/c071dzv9z94o,2025-05-22T06:48:44,BBC News,UK,en
Youth gold medallist OConnor dies aged 25,"Professional boxer Georgia OConnor, who revealed earlier this year she had been diagnosed with cancer, dies aged 25.",https://www.bbc.com/sport/boxing/articles/c3wd447wg6no,2025-05-22T12:15:21,BBC News,UK,en
A blue and red blur in the most purple of patches - rugbys boy king Bielle-Biarrey,Bordeaux star Louis Bielle-Biarrey went from unremarkable teenage fly-half to the most prolific wing in world rugby in a handful of years,https://www.bbc.com/sport/rugby-union/articles/c14ke8pmmzko,2025-05-22T09:20:19,BBC News,UK,en
Non-league team win title after finishing third,Third-placed AFC Whyteleafe win Combined Counties Premier South and earn automatic promotion after the top two teams are both docked points.,https://www.bbc.com/sport/football/articles/cj6r1r45wdyo,2025-05-22T12:10:20,BBC News,UK,en
Ducketts 140 puts England in charge of Zimbabwe Test,Ben Ducketts 140 runs off 134 balls propels England to a commanding 231-1 in the first innings of the Test match against Zimbabwe at Trent Bridge.,https://www.bbc.com/sport/cricket/videos/cn844w7dwejo,2025-05-22T12:03:22,BBC News,UK,en
