title,description,url,published_date,source,country,language
"Spies, lies and betrayal my ruinous relationship with an undercover cop","He was the first partner Kate Wilson ever moved in with they were together for 16 months, and friends for years afterwards. Then she found out he had been spying on her all alongIn February 2004, Kate Wilson  then 25 and known to her friends as Katja  decided to make a Valentines card for her partner, Mark. He was an affectionate person  he would write her poems, give her gifts, text her love messages  and she wanted to reciprocate in some way. He was quite demonstrative and I was not. That was a little bit awkward for me, she says. The gesture of making a card for Valentines Day, which to my anarchist self was soppy and commercial, was a big deal.More than a decade later, Wilson read the incident back, as recorded in a police logSunday 15th February. 19.37 Call from Source who has received a Valentines card from Katja. This has put Sources mind at rest re the challenges about being an undercoverinformant. Continue reading...",https://www.theguardian.com/uk-news/2025/may/22/spies-lies-and-betrayal-my-ruinous-relationship-with-an-undercover-cop,2025-05-22T04:00:50,The Guardian,UK,en
"Graham was keen, Damon less so Dave Rowntree on his early snaps of Blur  in pictures","Before Blur became superstars, drummer Dave Rowntree was busy photographing them  on the tube, in Japanese taxis  and even on a big dipper Continue reading...",https://www.theguardian.com/music/gallery/2025/may/22/graham-was-keen-damon-less-so-dave-rowntree-on-his-early-snaps-of-blur-in-pictures,2025-05-22T08:57:27,The Guardian,UK,en
What would Russias peace deal demands really mean for Ukraine?  visualised,"Trump on Monday again failed to persuade Putin to accept a ceasefire in Ukraine as a first step toward a peace deal. But what might a deal even look like, and what would it mean for the Ukrainian people?One of the few explicit peace proposals is a US outline reportedly seen by Reuters last month. It asks Ukraine to accept de jure recognition of Russias annexation of Crimea and de facto recognition of its occupation of large parts of several oblasts in the countrys east. On Monday, Volodymyr Zelensky confirmed that Russia is demanding Ukrainian troops abandon five oblasts as a precondition not for peace, but for a ceasefire and the opening of negotiations.Before the war, those oblasts were home to about 11 million Ukrainians. To put that into context, we visualised some broadly comparable populated areas in three European countries and one US state, in each case starting from the north-east corner. The shaded areas represent populations of about 11 million French, British, Italian and US citizens. Continue reading...",https://www.theguardian.com/world/ng-interactive/2025/may/22/what-would-russias-peace-deal-demands-really-mean-for-ukraine-visualised,2025-05-22T09:56:07,The Guardian,UK,en
"Vika The journalist who exposed Russian black sites, then ended up in one  podcast","Viktoriia Roshchyna was investigating Russias torture sites, then found herself inside one. Manisha Ganguly and Juliette Garside reportViktoriia Roshchyna, a Ukrainian journalist known as Vika, was determined to report on Russias black sites.These black sites, theyre not prisons theres no control on behaviour there, Juliette Garside, an editor at the Guardian, tells Michael Safi. So its where we know that some of the worst war crimes, the worst human rights abuses, take place. Continue reading...",https://www.theguardian.com/news/audio/2025/may/22/vika-the-journalist-who-exposed-russian-black-sites-then-ended-up-in-one-podcast,2025-05-22T02:00:45,The Guardian,UK,en
Breath-stoppingly tense which Mission Impossible film is the greatest?,"As The Final Reckoning hits cinemas, Guardian writers pick their favourites of the action-packed seriesMission Impossibles slick and sensuous surface bears no trace of the drama behind the scenes making it. During production, the screenwriters of Jurassic Park David Koepp and Chinatown Robert Towne sent in duelling script pages for director Brian De Palma and producer Tom Cruise to wrestle over. The magnificent outcome is an intense tango between the modern blockbuster and a classic film noir, circling each other warily, and beautifully, like no Mission Impossible that would follow. De Palmas original is a sexy wrong-man thriller, a Hitchcockian affair that comes disguised as an action-heavy corporate product or maybe the mask is worn the other way around?. In it, Cruises coiled IMF agent, framed for the murder of his entire team and surrounded by slippery allies, is constantly trying to play it cool through the plots knotty parlor games, all while feeling the noose tightening around him. If Cruises career up to this point was all about often leaving his relaxed boyish middle-American charm on the surface, Mission Impossible pushed him to try on layers  not just the latex ones  while also pulling off those incredible high-wire stunts, which would only escalate but never improve on the hair-raising tension the first time out. Radheyan Simonpillai Continue reading...",https://www.theguardian.com/film/2025/may/22/mission-impossible-favorite-instalment,2025-05-22T09:29:45,The Guardian,UK,en
How Elon Musk colonised a corner of Texas to build his own space city - video,"The worlds richest person has placed his mission to Mars in a low-income county near the US-Mexico border. As a small cluster of voters connected to SpaceX decide to incorporate their own Starbase city, Oliver Laughland and Tom Silverstone meet environmental opponents, space enthusiasts and residents who decry the gentrification Musks expansion has brought Continue reading...",https://www.theguardian.com/us-news/video/2025/may/22/elon-musk-texas-spacex-starbase-city-video,2025-05-22T11:00:09,The Guardian,UK,en
Starmer says Chagos Islands deal to cost 100m a year  UK politics live,"PM says government was likely to lose cases in international courts if it resisted Mauritiuss claims of sovereigntyThe Conservatives are taking the credit for the near-50 fall in net migration. They say it is the changes to visa rules that they introduced that brought the numbers down.This is from Chris Philp, the shadow home secretary.Net migration has halved - dropped by 430,000 - in 2024 compared to 2023This is thanks to measures put in place by the last Conservative GovernmentThis drop is because of the visa rule changes that I put in place.Labour will try to claim credit for these figures but they criticised me at the time, and have failed to fully implement the changes. Continue reading...",https://www.theguardian.com/politics/live/2025/may/22/tories-labour-crimes-sentencing-keir-starmer-kemi-badenoch-uk-politics-live-news,2025-05-22T14:35:23,The Guardian,UK,en
Revealed three tonnes of uranium legally dumped in protected English estuary in nine years,"Exclusive expert raises concerns over quantities allowed to be discharged from nuclear fuel factory near PrestonThe Environment Agency has allowed a firm to dump three tonnes of uranium into one of Englands most protected sites over the past nine years, it can be revealed, with experts sounding alarm over the potential environmental impact of these discharges.Documents obtained by the Guardian and the Ends Report through freedom of information requests show that a nuclear fuel factory near Preston discharged large quantities of uranium  legally, under its environmental permit conditions  into the River Ribble between 2015 and 2024. The discharges peaked in 2015 when 703kg of uranium was discharged, according to the documents. Continue reading...",https://www.theguardian.com/environment/2025/may/22/revealed-uranium-from-uk-nuclear-fuel-factory-dumped-into-protected-ribble-estuary,2025-05-22T14:00:33,The Guardian,UK,en
Fears of fresh strikes as teachers and NHS doctors get 4 pay rise,"Nurses decry grotesque award that gives them 3.6, as teachers express anger that part of increase will come out of school budget UK politics live  latest updatesAbout 2 million NHS staff and teachers in England will get pay rises slightly above inflation this year in a move that could trigger renewed public-sector strikes.Doctors and teachers will receive an extra 4, nurses and other health staff 3.6, and resident formerly junior doctors 5.4, ministers announced. Inflation was 3.5 last month. Continue reading...",https://www.theguardian.com/society/2025/may/22/teachers-doctors-england-pay-rise-nhs,2025-05-22T14:20:48,The Guardian,UK,en
Two Israeli embassy staff shot dead near Washington DC Jewish museum,"Police said a suspect was in custody after the shooting near the Capital Jewish MuseumIsraeli embassy staff shooting  latest newsExplained what we know so farA suspect is in custody after shooting dead two Israeli embassy staff outside a Jewish museum in Washington on Wednesday night.The gunman, named by police as Elias Rodriguez, 30, of Chicago, approached a group of four people leaving an event at the Capital Jewish Museum and opened fire, killing Yaron Lischinsky and Sarah Milgrim. Continue reading...",https://www.theguardian.com/us-news/2025/may/22/two-israeli-embassy-staff-shot-dead-near-washington-dc-jewish-museum-homeland-security-secretary,2025-05-22T12:22:28,The Guardian,UK,en
