title,description,url,published_date,source,country,language
Best mattress 2025 these are the UKs 16 best mattresses tested for a perfect nights sleep,"Read our expert reviews of all this years best mattresses, including hybrid models from Simba, Tempur, Emma and Silentnight",https://www.telegraph.co.uk/recommended/sleep/best-mattress/,2025-05-22T13:44:27,The Telegraph,UK,en
Telegraph Fantasy Football tips Game Week 37,"Here are our expert selection tips for GW37, and the final fixtures of the 202425 season, courtesy of Fantasy Football Hub",https://www.telegraph.co.uk/fantasy-sports/fantasy-football/telegraph-fantasy-football-tips/,2025-05-22T09:10:00,The Telegraph,UK,en
Ange Postecoglou keeps promise and ends Spurs 17-year trophy drought,Ange Postecoglou keeps promise and ends Spurs 17-year trophy drought,https://www.telegraph.co.uk/football/2025/05/21/europa-league-final-live-score-tottenham-man-utd-watch/,2025-05-22T08:46:29,The Telegraph,UK,en
Kim Jong-un furious as new warship is crushed in launch failure,Dictator says criminal act has ruined dignity of North Korea,https://www.telegraph.co.uk/world-news/2025/05/22/major-accident-north-korea-warship-launch-ceremony/,2025-05-22T06:27:49,The Telegraph,UK,en
"Whats on TV tonight Julianne Moore thrills in Sirens, Nine Perfect Strangers returns, and more","Your complete guide to the weeks best TV shows, across terrestrial and digital platforms",https://www.telegraph.co.uk/tv/0/tv-guide-tv-television-tonight/,2025-05-22T05:00:00,The Telegraph,UK,en
Netanyahu We will control all of Gaza,Netanyahu We will control all of Gaza,https://www.telegraph.co.uk/world-news/2025/05/21/israel-hamas-gaza-war-hezbollah-iran-latest-news/,2025-05-21T20:17:25,The Telegraph,UK,en
Cannes Film Festival 2025 The best and worst films reviewed,"From Paul Mescal and Josh OConnors romance, to a Julian Assange documentary, here are our critics hits and misses of the festival",https://www.telegraph.co.uk/films/0/cannes-film-festival-2025-best-worst-film-reviews/,2025-05-21T19:30:00,The Telegraph,UK,en
Stocks fall on US debt fears,Stocks fall on US debt fears,https://www.telegraph.co.uk/business/2025/05/21/inflation-ftse-100-markets-economy-latest-news-uk/,2025-05-21T19:13:06,The Telegraph,UK,sv
Emma Raducanu suffers back injury scare days before French Open,Emma Raducanu suffers back injury scare days before French Open,https://www.telegraph.co.uk/tennis/2025/05/21/emma-raducanu-vs-danielle-collins-live-score-strasbourg/,2025-05-21T19:09:14,The Telegraph,UK,en
The best budget hotels in Palma de Mallorca,"From industrial-cool boltholes to historic townhouses, these affordable city stays dont compromise on style",https://www.telegraph.co.uk/travel/destinations/europe/spain/majorca/articles/best-cheap-hotels-in-palma-de-mallorca/,2025-05-21T17:00:00,The Telegraph,UK,en
"The best waterproof jackets for men and women, tried and tested by hiking experts",Telegraph walks editor Richard Madden and wife Sarah braved the British storms to find the best mens and womens waterproof jackets,https://www.telegraph.co.uk/recommended/leisure/outdoor/best-waterproof-jackets/,2025-05-21T16:20:13,The Telegraph,UK,en
"The best smartphones of 2025, tried and tested  but are they worth the upgrade?","From Samsung Galaxy to Apple iPhone, which of this years best smartphones should you invest in? Heres our pick of the crop",https://www.telegraph.co.uk/recommended/tech/best-smartphones/,2025-05-21T15:20:05,The Telegraph,UK,en
Marlborough racing tips and best bets for todays races,Welcome to our racing tips and best bets service provided by Telegraph Sports champion tipster  updated here every day,https://www.telegraph.co.uk/racing/0/marlborough-racing-tips-best-bets-todays-races/,2025-05-21T14:14:42,The Telegraph,UK,en
Myanmars most wanted  and how they could be brought to justice,"Human rights groups accuse the junta of mass killings, arbitrary arrest and torture. But who could be held responsible for the atrocities?",https://www.telegraph.co.uk/global-health/terror-and-security/myanmars-most-wanted-how-they-could-be-brought-to-justice/,2025-05-21T14:02:55,The Telegraph,UK,en
Europa League final  when is it and how to watch Man Utd vs Tottenham,Silverware and place in next seasons Champions League up for grabs for two clubs who have endured desperate seasons domestically,https://www.telegraph.co.uk/football/2025/05/21/manchester-utd-vs-tottenham-hotspur-europa-league-final/,2025-05-21T11:41:09,The Telegraph,UK,en
The 16 best pillows for a good nights sleep,"We tested dozens of the best down, memory foam and microfibre pillows in our quest for better kip",https://www.telegraph.co.uk/recommended/sleep/best-pillows-uk/,2025-05-21T11:12:16,The Telegraph,UK,en
Telegraph Fantasy Football End-of-season survey,"Have your say on the Telegraph Fantasy Football 202425 season and beyond, plus be entered into a draw to win a 50 Amazon voucher",https://www.telegraph.co.uk/fantasy-sports/fantasy-football/telegraph-fantasy-football-end-of-season-survey/,2025-05-21T09:00:00,The Telegraph,UK,en
