title,description,url,published_date,source,country,language
Supreme Court blocks creation of religious charter school in Oklahoma,"The court was deadlocked 4-4, which meant a state Supreme Court ruling that declared the school violated the constitutional separation of church and state remained in place.",https://www.npr.org/2025/05/22/nx-s1-5407475/supreme-court-religious-charter-school-oklahoma,2025-05-22T10:38:03,NPR,USA,en
A family in Indian-administered Kashmir fears being split apart after militant attack,The husband is from India. The wife is from Pakistan. Their son is Indian and daughters are Pakistani. India blames Pakistan for an April militant attack in Kashmir and ordered Pakistanis to leave.,https://www.npr.org/2025/05/22/g-s1-67862/kashmir-attack-india-pakistan-deportations,2025-05-22T10:31:08,NPR,USA,en
South Africas president is praised for staying calm during Trumps Oval Office ambush,South Africans credit President Cyril Ramaphosa for keeping his cool as President Trump made a choreographed presentation accusing the country of murdering white farmers.,https://www.npr.org/2025/05/22/nx-s1-5406758/shock-and-anger-in-south-africa-after-oval-office-ambush,2025-05-22T08:54:26,NPR,USA,en
"Two Israeli embassy aides killed. And, House passes Trumps big, beautiful bill","Two staff members of Israels embassy in Washington, D.C., were shot dead last night outside of a Jewish museum. And, House Republicans passed President Trumps bill.",https://www.npr.org/2025/05/22/g-s1-68401/up-first-newsletter-israeli-embassy-aides-killed-house-republicans-trump-bill,2025-05-22T07:45:55,NPR,USA,en
Scientists want to track the worlds biodiversity using DNA in the air,Scientists have found a way to sample DNA out of the air on a large scale  making it possible to one day track the health and well being of all kinds of species around the world.,https://www.npr.org/2025/05/22/g-s1-67081/environmental-dna-edna-air-track-biodiversity,2025-05-22T06:00:00,NPR,USA,en
Educators fear their homeless students could become a target for Trump cuts,"A federal program provides extra help to make sure students experiencing homelessness get an education. Amid massive cuts to the federal government, the programs future is uncertain.",https://www.npr.org/2025/05/22/nx-s1-5406330/trump-schools-homeless-students-mickinney-vento,2025-05-22T06:00:00,NPR,USA,en
A Newark air traffic controller on how it felt when systems went dark,"An air traffic controller who works the airspace around Newark, N.J. speaks out about what it was like to lose radar and communication systems during a shift, and how the situation got to be so bad.",https://www.npr.org/2025/05/22/g-s1-68333/newark-air-traffic-controller-atc,2025-05-22T05:00:00,NPR,USA,en
"Raising ethics questions, top Trump meme coin investors to dine with president tonight","President Trump is hosting an exclusive dinner tonight for the largest investors in the TRUMP meme coin, putting the murky world of cryptocurrencies on a collision course with White House ethics.",https://www.npr.org/2025/05/22/nx-s1-5406209/trump-meme-coin-dinner-crypto,2025-05-22T05:00:00,NPR,USA,en
How Trump made a 30 tariff feel like a relief,"Its a pattern in President Trumps chaotic tariff policy he first suggests a high number, only to later ratchet it down. Business schools call it the anchor effect.",https://www.npr.org/2025/05/22/nx-s1-5395814/trump-tariffs-strategy,2025-05-22T05:00:00,NPR,USA,en
Witnessing George Floyds killing,"How did the murder of George Floyd affect onlookers and online witnesses? Rev. Frenchye Magee, Professor Zinzi Bailey, and attorney Antonio Romanucci reflect on the response.",https://www.npr.org/2025/05/22/nx-s1-5399728/witnessing-george-floyds-killing,2025-05-22T04:11:12,NPR,USA,en
