title,description,url,published_date,source,country,language
Divided Supreme Court Rejects Bid for Religious Charter School in Oklahoma,"In a 4-to-4 decision, the court upheld a ruling by the Oklahoma Supreme Court that blocked the school.",https://www.nytimes.com/2025/05/22/us/politics/supreme-court-religious-charter-school-oklahoma.html,2025-05-22T14:30:22,New York Times,USA,en
"D.C. Shooting Kills 2 at Jewish Museum, and House Passes Trumps Beautiful Bill","Plus, breakfast cereals are getting less healthy.",https://www.nytimes.com/2025/05/22/podcasts/the-headlines/dc-shooting-jewish-museum-trump.html,2025-05-22T12:33:20,New York Times,USA,en
South Africa Wanted to Talk Trade. Then Trump Turned Down the Lights.,"In a bruising Oval Office meeting, the visitors plan to keep President Trump from focusing on false accusations of white genocide backfired spectacularly.",https://www.nytimes.com/2025/05/22/world/africa/south-africa-trump-oval-office-genocide.html,2025-05-22T11:07:22,New York Times,USA,en
Inside the Oval Office Meeting With South Africas President,"John Eligon, Johannesburg bureau chief, recounts what he witnessed in the Oval Office when President Trump confronted the visiting President Cyril Ramaphosa of South Africa with an elaborate presentation attempting to falsely prove a genocide against white Afrikaners.",https://www.nytimes.com/video/us/politics/100000010182928/inside-the-oval-office-meeting-with-south-africas-president.html,2025-05-22T01:42:41,New York Times,USA,en
Trump Casts Himself as a Protector of Persecuted White People,"President Trump publicly dressed down the president of South Africa based on a fringe conspiracy theory, providing a vivid distillation of his views on race.",https://www.nytimes.com/2025/05/21/us/politics/trump-race-south-africa.html,2025-05-22T13:17:26,New York Times,USA,en
Trump Claimed a Video Showed Burial Sites of White Farmers. It Didnt.,"During a meeting with South Africas president, President Trump played the video as evidence of racial persecution. A Times analysis found he misrepresented the contents of the video.",https://www.nytimes.com/2025/05/21/us/politics/trump-south-africa-president-white-farmers-video.html,2025-05-22T01:29:19,New York Times,USA,en
21 Nonfiction Books Coming this Summer,"How did streetwear become high fashion? Why are there so many serial killers in the Pacific Northwest? Prize-winning writers tackle these questions, while memoirists consider celibacy, spycraft and Erica Jong.",https://www.nytimes.com/2025/05/22/books/review/21-nonfiction-books-coming-this-summer.html,2025-05-22T13:44:44,New York Times,USA,en
New Novels to Read This Summer,"Taylor Jenkins Reid heads to space, Megan Abbott climbs a pyramid scheme and Gary Shteyngart channels a 10-year-old. Plus queer vampires, a professor in hell and an actresss revenge.",https://www.nytimes.com/2025/05/22/books/review/new-fiction-books-summer-2025.html,2025-05-22T09:00:21,New York Times,USA,en
4 Summer Books Were Looking Forward To,"Gilbert Cruz, the editor of The New York Times Book Review, previews four books were anticipating this summer.",https://www.nytimes.com/video/books/100000010172708/4-summer-books-were-looking-forward-to.html,2025-05-22T09:01:49,New York Times,USA,en
"As the Soviet Union Fell, Did the K.G.B. Leave Behind a Gift in Brazil?",A forensic analysis of birth certificates used by deep-cover operatives suggests a tantalizing possibility.,https://www.nytimes.com/2025/05/22/world/americas/kgb-russia-spy-brazil-birth-certificates-deep-cover-illegals.html,2025-05-22T12:51:48,New York Times,USA,en
How Daniel Led Our Reporters to an Assembly Line for Russian Spies,"For years, Russia used Brazil as a launchpad for its most elite intelligence officers, known as illegals. They started businesses, made friends and had love affairs  events that, over many years, became the building blocks of entirely new identities. Jane Bradley and Michael Schwirtz, investigative reporters for The New York Times, discuss one case.",https://www.nytimes.com/video/world/americas/100000010164067/how-daniel-led-our-reporters-to-an-assembly-line-for-russian-spies.html,2025-05-22T13:23:57,New York Times,USA,en
Russia Used Brazil to Create Deep-Cover Spies,Russias intelligence services turned Brazil into an assembly line for deep-cover operatives. A team of federal agents from the South American country has been quietly dismantling it.,https://www.nytimes.com/2025/05/21/world/americas/russia-brazil-spies-deep-cover.html,2025-05-21T21:42:20,New York Times,USA,en
Kennedy and Trump to Release Report Calling Chronic Disease a Crisis,The report is already receiving pushback from some Republicans and the agriculture industry over fears about the health secretarys longtime crusade against agricultural chemicals.,https://www.nytimes.com/2025/05/22/us/politics/kennedy-trump-maha-report.html,2025-05-22T13:21:10,New York Times,USA,en
Inside Trump Officials Debate Over Abrego Garcias Deportation,"A Maryland mans deportation to El Salvador set off a fierce debate among officials in three cabinet agencies, despite agreement there had been a mistake.",https://www.nytimes.com/2025/05/21/us/politics/trump-abrego-garcia-el-salvador-deportation.html,2025-05-22T08:27:49,New York Times,USA,en
Kim Jong-un Vents Fury After Botched Launch of North Korean Destroyer,"He vows to punish as criminals those responsible for the failure, in which the ship had its hull torn open and ended up on its side in the water.",https://www.nytimes.com/2025/05/22/world/asia/north-korea-destroyer-accident.html,2025-05-22T13:22:17,New York Times,USA,en
Alberta Separatism Push Roils Canada,"The country is just emerging from a period of political turmoil with a new prime minister in place. But now Alberta, a conservative Western province, is planning a referendum to break away.",https://www.nytimes.com/2025/05/22/world/canada/alberta-separatism-referendum.html,2025-05-22T13:24:44,New York Times,USA,en
"After Biden and Connolly, Some Democrats Wonder Should Age and Term Limits Exist?","After Joe Bidens cancer diagnosis and Representative Gerry Connollys death, some in the party want more elected officials, as one Democrat put it, to seek an earlier escape hatch from politics.",https://www.nytimes.com/2025/05/22/us/politics/democrats-age-biden-cancer-connolly.html,2025-05-22T09:02:26,New York Times,USA,en
Pope Leos Doctoral Dissertation Thoughts on Power and Authority,"There is no room in Augustines concept of authority for one who is self-seeking and in search of power over others, he wrote in the 167-page text.",https://www.nytimes.com/2025/05/22/us/pope-leo-doctoral-dissertation.html,2025-05-22T12:48:08,New York Times,USA,en
Jeff Goldblum Says Jeff Goldblum Is Not a Performance,"In a wide-ranging interview on Popcast, the actor and musician insisted that the immutable Jeff Goldblum persona is not a performance  its his lifeblood.",https://www.nytimes.com/2025/05/22/arts/music/jeff-goldblum-popcast-interview.html,2025-05-22T09:01:27,New York Times,USA,en
How Groupthink Protected Biden and Re-elected Trump,Was there a Joe Biden cover-up? Jake Tapper examines the people and institutions that made the former presidents re-election campaign possible.,https://www.nytimes.com/2025/05/21/opinion/ezra-klein-podcast-jake-tapper.html,2025-05-21T09:05:03,New York Times,USA,en
David Souter Knew When to Step Down,David Souter set an example more leaders should follow.,https://www.nytimes.com/2025/05/22/opinion/souter-biden-resignation-age.html,2025-05-22T09:03:31,New York Times,USA,en
Deportees Went Where?,We examine the governments deportation policies.,https://www.nytimes.com/2025/05/22/briefing/deportees-went-where.html,2025-05-22T13:37:12,New York Times,USA,en
Late Night Thinks Trumps White Genocide Video Was a Bit Much,"The guy who couldnt find South Africa on a map of Africa subjected its leader to an extremely dubious video about his own country, Jimmy Kimmel said.",https://www.nytimes.com/2025/05/22/arts/television/late-night-trump-south-africa.html,2025-05-22T09:40:14,New York Times,USA,en
Kid Cudi Is Expected to Testify in the Sean Combs Trial,The rapper is scheduled to take the stand on Thursday to describe how his car was blown up after a threat by a jealous Mr. Combs.,https://www.nytimes.com/2025/05/22/arts/music/kid-cudi-sean-combs-diddy-trial.html,2025-05-22T12:00:04,New York Times,USA,en
Inspector Let Recruits Who Failed Psychological Exam Join the N.Y.P.D.,"Terrell Anderson, the former head of a unit charged with assessing candidates, has been transferred. He has been praised as an innovative officer.",https://www.nytimes.com/2025/05/21/nyregion/nypd-inspector-transferred-psychological-test.html,2025-05-22T01:34:30,New York Times,USA,en
Roof of 14th-Century Drum Tower Partially Collapses in China,"The Drum Tower in Fengyang County, which dates to the 14th century, is one of many historical sites that have been renovated as cultural tourism has boomed.",https://www.nytimes.com/2025/05/22/world/asia/china-drum-tower-collapse.html,2025-05-22T07:39:47,New York Times,USA,en
"Memorial Day Weekend Tips on Travel Delays, Cancellations and More","With airports and airlines experiencing delays and cancellations, and staffing shortfalls at national parks, heres what to know before you go.",https://www.nytimes.com/2025/05/20/travel/memorial-day-weekend-travel-tips.html,2025-05-21T13:48:02,New York Times,USA,en
