title,description,url,published_date,source,country,language
Uttarakhand CM Dhami chairs meeting to discuss campaign against corruption visits Shri Hemkunt Sahib,"Chief Minister Pushkar Singh Dhami directed officials to intensify the anti-corruption campaign and submit a detailed report on conversion-related cases. He emphasized strict action against suspicious activities, thorough verification of documents, and the removal of property encroachment. Dhami also prioritized local workers for government construction, incorporating state culture in designs, and strengthening border security.",https://timesofindia.indiatimes.com/india/uttarakhand-cm-dhami-chairs-meeting-to-discuss-campaign-against-corruption-visits-shri-hemkunt-sahib/articleshow/121341512.cms,2025-05-22T18:28:17,Times of India,India,en
"REC to Red Corridor Nambala Keshava Rao, Cherukuri Rajkumar among top Maoists traced back to now NITW",,https://www.thehindu.com/news/national/telangana/rec-to-red-corridor-nambala-keshava-rao-cherukuri-rajkumar-among-top-maoists-traced-back-to-now-nitw/article69605914.ece,2025-05-22T20:06:29,The Hindu,India,en
Farmers seek increase in FRP for sugarcane,,https://www.thehindu.com/news/national/karnataka/farmers-seek-increase-in-frp-for-sugarcane/article69606514.ece,2025-05-22T20:05:27,The Hindu,India,en
Three-member gang involved in thefts and burglaries held in Annamayya district,"Police seize over 1 kg of gold jewellery valued at 1 crore, 3 kg of silver ornaments worth 3 lakh, cash of 14 lakh, two motorcycles and an autorickshaw from the accused",https://www.thehindu.com/news/national/andhra-pradesh/three-member-gang-involved-in-thefts-and-burglaries-held-in-annamayya-district/article69606317.ece,2025-05-22T20:04:55,The Hindu,India,en
Karnataka High Court stays FIRs against Amit Malviya and Arnab Goswami,,https://www.thehindu.com/news/national/karnataka/karnataka-high-court-stays-firs-against-amit-malviya-and-arnab-goswami/article69606757.ece,2025-05-22T20:04:34,The Hindu,India,tl
Labourer arrested in Bengaluru for smuggling ganja in train,,https://www.thehindu.com/news/cities/bangalore/labourer-arrested-in-bengaluru-for-smuggling-ganja-in-train/article69606329.ece,2025-05-22T20:00:15,The Hindu,India,en
Kozhikode MP requests Gadkari to review NH 66 construction,,https://www.thehindu.com/news/national/kerala/kozhikode-mp-requests-gadkari-to-review-nh-66-construction/article69606575.ece,2025-05-22T20:00:13,The Hindu,India,en
Karnataka High Court imposes additional rider to allow litigants to argue their cases in person without assistance of advocate,,https://www.thehindu.com/news/cities/bangalore/karnataka-high-court-imposes-additional-rider-to-allow-litigants-to-argue-their-cases-in-person-without-assistance-of-advocate/article69606205.ece,2025-05-22T20:00:00,The Hindu,India,en
Man arrested two years after sexual assault of minor in Visakapatnam,,https://www.thehindu.com/news/cities/Hyderabad/man-arrested-two-years-after-sexual-assault-of-minor-in-visakapatnam/article69605865.ece,2025-05-22T19:59:45,The Hindu,India,en
JSSAHER gets into space medicine research,,https://www.thehindu.com/news/national/karnataka/jssaher-gets-into-space-medicine-research/article69605932.ece,2025-05-22T19:59:22,The Hindu,India,en
IB officers death HC unhappy with police not arresting colleague,"The court, however, restrained the police from arresting him till May 26 as it reserved its order on the anticipatory bail petition by the suspended IB officer",https://www.thehindu.com/news/national/kerala/ib-officers-death-hc-unhappy-with-police-not-arresting-colleague/article69606345.ece,2025-05-22T19:55:44,The Hindu,India,en
Not invited for peace talks Malankara Orthodox Syrian Church,It refutes claims suggesting that the heads of three Oriental Churches invited the Orthodox Church leadership to Cairo to resolve the Malankara Church dispute.,https://www.thehindu.com/news/national/kerala/no-invitation-for-peace-talks-malankara-orthodox-syrian-church/article69606574.ece,2025-05-22T19:51:14,The Hindu,India,en
Erratic weather deals a blow to ice apple vendors in Vijayawada,"With the mercury dipping, the demand for ice apples has also seen a decline in May leaving the sellers, mostly agricultural labourers who dont get farm work in summer, with unsold stocks and meagre earnings at the end of the day",https://www.thehindu.com/news/national/andhra-pradesh/erratic-weather-deals-a-blow-to-ice-apple-vendors-in-vijayawada/article69602696.ece,2025-05-22T19:50:53,The Hindu,India,en
TiE to host programme on AI and Business Automation,,https://www.thehindu.com/news/national/karnataka/tie-to-host-programme-on-ai-and-business-automation/article69602578.ece,2025-05-22T19:50:15,The Hindu,India,en
